T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
59274, 577, 754, -341, -28560, 11270, -2170
59294, 655, 777, -273, -1260, 9520, 7980
59314, 597, 753, -320, 7770, 7980, 7000
59334, 565, 761, -235, 4760, 840, 12110
59354, 538, 788, -226, 16030, -700, 9940
59374, 559, 810, -238, 13020, 490, 4900
59394, 569, 789, -244, -1750, 7770, -3710
59414, 608, 791, -351, -30800, 18340, -11340
59434, 593, 756, -312, -43540, 13090, -12040
59454, 530, 787, -280, -20790, 0, -3150
59474, 509, 783, -239, 3150, -7910, 8260
59494, 531, 787, -237, 10290, -9240, 12110
59514, 553, 776, -264, -3990, 3080, 7140
59534, 561, 781, -264, -14420, 9310, 280
59554, 605, 743, -282, -11200, 3150, -700
59574, 600, 780, -263, -7420, -3710, 1820
59594, 548, 810, -183, 2310, -6370, 3570
59614, 581, 786, -240, 7280, -5390, 700
59634, 588, 766, -264, -6370, -2030, -4340
59654, 579, 763, -226, -12530, 2870, -2870
59674, 560, 815, -175, -1610, -420, 2520
59694, 614, 793, -244, 1610, -2940, 3850
59714, 566, 783, -231, -17780, -1050, -5320
59734, 570, 790, -234, -23100, 4130, -2310
59754, 567, 787, -225, -12880, 1120, -630
59774, 558, 793, -214, -7700, -4130, -2240
59794, 549, 787, -189, -3570, -6090, -1190
59814, 571, 795, -187, 1120, -2380, 2800
59834, 579, 800, -206, -8050, 2520, 280
59854, 596, 787, -223, -17010, 4130, -2730
59874, 579, 800, -199, -9590, 2380, -630
59894, 576, 807, -203, -210, 1820, 3570
59914, 581, 813, -209, 3640, -700, 2520
59934, 573, 805, -226, 4480, -3150, 420
59954, 560, 815, -212, 1820, -1960, -210
59974, 570, 808, -217, 4270, -980, 2520
59994, 550, 808, -221, 2450, -560, 840
60014, 562, 810, -223, -3290, 1330, 490
60034, 553, 814, -181, -2590, 1190, 1400
60054, 576, 800, -193, 2730, 490, 1820
60074, 574, 801, -194, -2310, 1120, -1750
60094, 541, 785, -164, -11620, 2800, -3990
60114, 564, 797, -197, -17850, 1960, -6370
60134, 564, 805, -196, -20580, 280, -6020
60154, 571, 809, -188, -9870, -1540, -3780
60174, 562, 810, -143, 1820, 1540, -1120
60194, 578, 821, -160, -3430, 3780, -3640
60214, 548, 811, -179, -9240, 980, -3850
60234, 547, 798, -180, -3990, -3010, -2240
60254, 519, 796, -154, 4480, -4060, -140
60274, 509, 799, -134, 7980, -2310, 3430
60294, 540, 774, -122, -4340, -1330, -1540
60314, 594, 859, -167, -28840, 700, -12950
60334, 524, 851, -157, -42210, 3850, -12040
60354, 527, 835, -137, -38710, 7000, -9380
60374, 537, 855, -107, -38010, 5250, -14770
60394, 559, 847, -77, -43750, -2030, -14070
60414, 579, 838, -87, -47810, -14630, -7140
60434, 569, 829, -163, -43400, -18970, 2800
60454, 518, 813, -128, -17150, -10220, 19950
60474, 530, 844, -55, 18480, 210, 23730
60494, 527, 855, -49, 24430, 3290, 17430
60514, 525, 827, -85, 9030, 4900, 8890
60534, 564, 832, -107, -5250, 4340, -1190
60554, 543, 841, -83, -5320, 4340, -2240
60574, 537, 826, -68, -1050, 1540, 1400
60594, 572, 830, -58, -2450, -1120, 1610
60614, 579, 828, -74, -10710, -4200, 10010
60634, 571, 830, -57, -24850, -2870, 27440
60654, 574, 829, -64, -42280, -10990, 36120
60674, 587, 834, -59, -56280, -21070, 36400
60694, 604, 821, -52, -54880, -24010, 38080
60714, 578, 798, -79, -44100, -23870, 36680
60734, 572, 805, -51, -26180, -14350, 29330
60754, 580, 812, -14, -1120, -10780, 17570
60774, 609, 810, 0, 13930, -5460, 840
60794, 621, 803, -10, 10010, -3990, -7840
60814, 614, 800, -39, 2590, 1190, -5250
60834, 595, 799, -46, -770, 2380, 1610
60854, 589, 795, -33, -350, 3290, 4760
60874, 602, 804, -23, 1890, 4060, 2800
60894, 607, 811, -23, 3780, 1120, 1190
60914, 609, 830, -21, 4130, 210, 1750
60934, 618, 824, -29, 2520, 2030, 70
60954, 598, 816, -37, 1260, 280, -2170
60974, 584, 810, -52, 560, -490, 560
60994, 582, 813, -35, 1120, -420, 1120
61014, 581, 813, -28, 5460, 140, -210
61034, 575, 812, -28, 6300, -1400, 980
61054, 580, 802, -34, 3150, -280, 2800
61074, 591, 805, -36, 420, -490, 350
61094, 600, 810, -34, 490, -1680, -1400
61114, 600, 805, -25, 1050, -2030, -1540
61134, 579, 794, -35, 2030, -3570, -630
61154, 576, 805, -33, 2590, -6020, 2940
61174, 593, 805, -42, 4130, -6160, 1190
61194, 611, 812, -25, 5740, -5390, -3010
61214, 626, 811, -30, 7280, 1540, -4550
61234, 616, 812, -29, 2450, 4550, -4130
61254, 592, 796, -13, 2940, 910, -1260
61274, 617, 813, -54, 5880, -3780, 1400
61294, 546, 794, 7, -6020, -14910, 3640
61314, 586, 805, -2, -11060, -6720, 11900
61334, 605, 807, -24, -20860, -15610, 17290
61354, 613, 821, -21, -31220, -17990, 17500
61374, 619, 826, -32, -41090, -18130, 9380
61394, 583, 791, -42, -34930, -25620, 1680
61414, 599, 807, -36, -24570, -32830, -1680
61434, 622, 841, -14, -10220, -38570, 4200
61454, 612, 810, -26, 3430, -43120, 4410
61474, 603, 790, -23, 2170, -39550, -4970
61494, 611, 807, -15, -4480, -19950, -7840
61514, 584, 776, -12, -4760, 490, -4480
61534, 598, 784, 1, -9030, 16380, -910
61554, 605, 808, 37, -18060, 24780, 6510
61574, 582, 809, -53, -28700, 25060, 12040
61594, 532, 815, -41, -34020, 12740, 17220
61614, 600, 782, 14, -14420, 2870, 16310
61634, 615, 798, 32, 5110, -2450, 4690
61654, 622, 807, 15, 4690, -7560, 1680
61674, 592, 812, 7, -5530, -14210, 5880
61694, 604, 801, -4, -7630, -15960, 11970
61714, 617, 802, 9, -6930, -16660, 8260
61734, 618, 806, 2, -490, -15540, 980
61754, 595, 781, 0, 3500, -15120, -3500
61774, 577, 751, 12, 840, -11550, -2940
61794, 587, 757, 30, 2800, -9730, -3640
61814, 656, 854, 20, 4760, -16100, -5740
61834, 661, 863, -31, 5460, -31010, -9590
61854, 591, 823, 12, -13860, -24360, -8330
61874, 598, 825, 15, -41510, 15330, -2100
61894, 587, 790, 15, -28770, 12040, 420
61914, 577, 778, 28, -14700, -10220, 19740
61934, 579, 769, 36, -32830, -26670, 17920
61954, 598, 784, 34, -23100, -57820, 17920
61974, 632, 817, 3, -26530, -80220, 2310
61994, 642, 833, -13, -60060, -63210, -17780
62014, 625, 833, 10, -69580, -37590, -17850
62034, 596, 811, 31, -36050, -45150, 210
62054, 601, 798, 2, -7280, -71610, 12390
62074, 570, 765, 5, -19740, -65240, 9800
62094, 584, 782, 16, -40180, -45080, -2100
62114, 599, 813, 42, -43260, -43890, 490
62134, 613, 813, 37, -46760, -57330, 18760
62154, 620, 834, 41, -61950, -71400, 13230
62174, 641, 828, 37, -73010, -89320, -6790
62194, 793, 704, -174, -67760, -117110, -8540
62214, 615, 741, 21, -23100, -68110, 31220
62234, 589, 715, 17, -7980, 2380, 42560
62254, 602, 765, 52, -19530, 18480, 770
62274, 601, 803, 54, -13860, 2520, -13230
62294, 626, 833, 22, 210, -48370, -26670
62314, 613, 821, 28, -11970, -62720, -26880
62334, 601, 817, 44, -39830, -52360, -5670
