T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
209197, 541, 758, 36, 13720, 53060, 18760
209217, 542, 755, 33, 24920, 52150, 15750
209237, 555, 774, 29, 39480, 45570, 3010
209257, 586, 830, 22, 47740, 45360, -10640
209277, 606, 870, 29, 47320, 54110, -21350
209297, 610, 887, 36, 41230, 69090, -22540
209317, 592, 861, 41, 37170, 80500, -12460
209337, 575, 823, 38, 39340, 82250, 5950
209357, 570, 804, 35, 48090, 73920, 19670
209377, 572, 806, 31, 55720, 65380, 18060
209397, 576, 822, 35, 55160, 66010, 2870
209417, 571, 825, 44, 47390, 73430, -12740
209437, 572, 827, 46, 39830, 77560, -14910
209457, 571, 824, 43, 40180, 69720, -7490
209477, 570, 814, 40, 43610, 56840, 3290
209497, 562, 798, 43, 42140, 49000, 12950
209517, 557, 792, 43, 34790, 46690, 16310
209537, 561, 797, 43, 27160, 43890, 9800
209557, 564, 812, 48, 20930, 39200, -3220
209577, 580, 842, 49, 14980, 33670, -12040
209597, 598, 865, 44, 12670, 22680, -10220
209617, 607, 871, 38, 13580, 7700, -630
209637, 598, 857, 40, 10710, -1540, 8050
209657, 583, 834, 47, -490, 350, 11550
209677, 570, 820, 47, -11410, 2380, 8610
209697, 565, 812, 43, -13230, -6230, 980
209717, 563, 805, 42, -15330, -26180, 6860
209737, 562, 804, 43, -19880, -31430, 13440
209757, 570, 809, 37, -22260, -37520, 13090
209777, 573, 817, 36, -26810, -39550, 7630
209797, 571, 817, 42, -33880, -37520, 2660
209817, 568, 818, 44, -34440, -41860, -1540
209837, 575, 823, 39, -28070, -53060, -1610
209857, 578, 826, 34, -26390, -57610, 5810
209877, 579, 823, 35, -30940, -53410, 13790
209897, 581, 825, 36, -33250, -49630, 13230
209917, 584, 829, 37, -31780, -48650, 5460
209937, 585, 832, 37, -29960, -47250, -1960
209957, 584, 833, 35, -26600, -46830, -3010
209977, 587, 836, 31, -20790, -48300, 1540
209997, 588, 835, 27, -17150, -46130, 7770
210017, 579, 815, 30, -18340, -37100, 13090
210037, 562, 789, 33, -20020, -27090, 15400
210057, 554, 776, 36, -16870, -23240, 11900
210077, 556, 780, 32, -10080, -23660, 3150
210097, 564, 793, 31, -4970, -21630, -4550
210117, 574, 814, 32, -3360, -15540, -5110
210137, 593, 839, 31, -1890, -9100, 0
210157, 604, 855, 30, 1330, -3920, 3010
210177, 602, 858, 32, 4620, 2310, 490
210197, 594, 843, 34, 7560, 8540, -1050
210217, 583, 829, 33, 12250, 12040, 1750
210237, 575, 811, 31, 17010, 14700, 5110
210257, 562, 796, 34, 17640, 21770, 6300
210277, 560, 791, 35, 17430, 28840, 5110
210297, 565, 796, 37, 20510, 30800, 2310
210317, 572, 811, 34, 25690, 29120, -2870
210337, 583, 826, 33, 28140, 30450, -7980
