T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
142801, 578, 850, -11, -7210, -22960, -27160
142821, 519, 848, -1, -6160, -20160, -24920
142841, 549, 830, -44, -15470, -29610, -34720
142861, 529, 820, -52, -32340, -49420, -46690
142881, 552, 793, -10, -32900, -53200, -37940
142901, 585, 860, -60, -21910, -56280, -13440
142921, 480, 823, -16, -18690, -53130, 20720
142941, 555, 834, -21, -30380, -23590, 21840
142961, 559, 918, 41, -36260, -17920, -2310
142981, 596, 838, -22, -34930, -32130, -11410
143001, 497, 823, -37, -47390, -62580, 5950
143021, 510, 856, -10, -45640, -45080, 14630
143041, 454, 936, 55, -38290, -1050, -1260
143061, 517, 752, -18, -53760, 11060, 1260
143081, 557, 857, 52, -51730, -20930, 17710
143101, 546, 807, 74, -25620, -19040, 13860
143121, 558, 889, 93, -16380, -31850, 15610
143141, 592, 936, 39, -10150, -28140, 16870
143161, 531, 852, 117, -13090, -35350, 26740
143181, 576, 782, 34, -13650, -60830, 59430
143201, 601, 718, -26, -5810, -105210, 81200
143221, 651, 826, 40, 6580, -95340, 58450
143241, 644, 868, -31, 12040, -28140, 20860
143261, 641, 795, 9, 1190, 7070, 3360
143281, 570, 795, 10, -7630, 34020, 1960
143301, 591, 789, 7, -4410, 24850, 17360
143321, 614, 738, 17, 3080, -13160, 40250
143341, 613, 797, 0, 12320, -46480, 42630
143361, 581, 736, 25, 13370, -50680, 33250
143381, 614, 757, -14, 5740, -22120, 12600
143401, 574, 786, 1, -3850, -770, -8750
143421, 550, 777, 54, -5250, -280, -13580
143441, 585, 680, -230, -5040, -26180, -7490
143461, 532, 768, 125, -14350, -86870, 4060
143481, 561, 836, 126, -9310, -95480, -10080
143501, 541, 840, 129, -84490, -140980, -6790
143521, 588, 941, 61, -137480, -224630, 8750
143541, 590, 940, 73, -194880, -241290, 4690
143561, 533, 945, -99, -246050, -309960, 52570
143581, 514, 833, 90, -269360, -328440, 77980
143601, 530, 1005, 16, -312200, -370720, 48720
143621, 655, 1066, -105, -285320, -497630, 39060
143641, 574, 962, -181, -289870, -497630, 53410
143661, 419, 918, -19, -373730, -370440, 27580
143681, 383, 858, -7, -328860, -390670, -24500
143701, 512, 992, -193, -232750, -459760, -51940
143721, 411, 828, -24, -237930, -409920, -27160
143741, 339, 533, -202, -286930, -353570, 50190
143761, 76, 730, -532, -266280, -324870, 70420
143781, 578, 1287, -688, -73150, -242830, -93030
143801, 456, 909, -152, 71540, 28840, -49210
143821, 501, 832, -50, 95480, 231490, 90860
143841, 507, 781, 67, 119070, 287840, 98560
143861, 558, 803, 56, 81830, 190470, 54110
143881, 586, 833, -99, 11970, 22540, 11480
143901, 621, 808, -75, -1820, -32200, 6300
143921, 601, 786, -63, 9380, -700, 15540
143941, 634, 785, -96, 2450, -7000, 17780
143961, 606, 743, -110, 8540, -16170, 7420
