T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps],LabelX,LabelY,LabelZ
8033,253,1094,106,-23870,-32760,-84490,1,1,1
8053,105,1183,168,-31150,-11550,-98210,1,1,1
8073,230,1005,161,-14210,9870,-12180,1,1,1
8093,171,979,171,70,14700,30030,1,1,1
8113,183,1017,158,-280,10430,-3220,1,1,1
8133,193,969,148,3780,7560,-350,1,1,1
8153,143,1021,166,5810,3850,-6300,1,1,1
8173,150,891,153,5110,-1470,-23450,1,1,1
8193,144,965,173,-3360,-3010,-22190,1,1,1
8213,113,968,205,-9940,-3220,-27580,1,1,1
8233,189,1138,135,-8400,-4970,-22400,1,1,1
8253,66,1033,212,-770,-6440,-28350,1,1,1
8273,105,984,182,6790,-1890,-3010,1,1,1
8293,104,953,184,8890,70,11480,1,1,1
8313,127,962,130,6440,-2310,6090,1,1,1
8333,124,954,176,4830,-5250,-3430,1,1,1
8353,206,1106,87,1890,-11060,-4970,1,1,1
8373,98,1195,211,2310,-9660,-5880,1,1,1
8393,58,771,214,980,-6090,-700,1,1,1
8413,140,841,215,14140,-630,29120,1,1,1
8433,195,1287,87,4270,4620,22400,1,1,1
8453,65,641,174,4550,-3010,2800,1,1,1
8473,211,1053,127,2870,-3290,5040,1,1,1
8493,128,915,212,-280,-4550,-17640,1,1,1
8513,133,863,204,-2030,-2520,-8330,1,1,1
8533,165,1128,160,4270,-1610,-5600,1,1,1
8553,96,884,236,2170,490,-280,1,1,1
8573,194,954,111,6790,3010,23450,1,1,1
8593,169,955,157,10080,2870,26880,1,1,1
8613,115,1022,173,3990,1400,16100,1,1,1
8633,64,706,228,7280,-4200,140,1,1,1
8653,194,1063,142,3710,-4550,10990,1,1,1
8673,73,858,204,6930,-6580,-1330,1,1,1
8693,243,955,27,8190,-5180,13650,1,1,1
8713,176,916,148,14560,-280,21210,1,1,1
8733,205,1234,92,-1680,2730,-840,1,1,1
8753,141,790,215,-490,-2590,-8610,1,1,1
8773,158,1108,125,1750,-4200,-7980,1,1,1
8793,68,908,289,-2940,-3010,-6230,1,1,1
8813,103,920,160,0,-5600,-9450,1,1,1
8833,157,1117,94,2310,-2310,9030,1,1,1
8853,127,1102,138,9520,-3710,7840,1,1,1
8873,202,976,115,8050,-3360,13020,1,1,1
8893,142,896,169,11690,-2660,18550,1,1,1
8913,227,1005,124,10570,-1540,6720,1,1,1
8933,149,905,201,6160,1890,11130,1,1,1
8953,150,997,231,5880,-3080,-840,1,1,1
