T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps],LabelX
137281,609,1010,25,299950,312340,151620,1
137301,549,901,38,284900,286930,174090,1
137321,502,791,43,265090,257880,203490,1
137341,456,671,47,233520,233240,216300,1
137361,411,570,53,192150,215110,191240,1
137381,368,500,68,148260,198800,136080,1
137401,333,465,88,109060,173460,78260,1
137421,312,445,99,77770,129290,44870,1
137441,295,416,99,49700,70280,42980,1
137461,287,380,90,18060,9660,55790,1
137481,282,348,80,-18970,-42980,55650,1
137501,282,335,77,-59290,-83300,23170,1
137521,309,382,75,-97160,-116970,-46130,1
137541,358,486,71,-129220,-151900,-140000,1
137561,444,655,59,-157990,-187670,-230860,1
137581,578,912,50,-186200,-220920,-300720,1
137601,761,1302,46,-217980,-244230,-339500,1
137621,991,1761,-1,-230370,-279090,-325640,1
137641,1083,1786,-110,-210420,-333620,-222320,1
137661,888,1350,-97,-234780,-323890,-61810,1
137681,699,1021,-31,-338940,-217490,15540,1
137701,628,945,-8,-406560,-147490,-39270,1
137721,668,1049,-21,-402640,-157710,-127680,1
137741,790,1257,-36,-387240,-181580,-156940,1
137761,1029,1675,-70,-376810,-192570,-135240,1
137781,1228,1997,-118,-353290,-197330,-112630,1
137801,1121,1877,-126,-331240,-178710,-58310,1
137821,902,1395,-104,-338310,-122080,67760,1
137841,768,1135,-68,-348670,-63070,142520,1
137861,711,1075,-28,-347270,-24500,104020,1
137881,737,1111,-27,-317520,-20300,63280,1
137901,811,1200,-53,-260680,-45220,63700,1
137921,847,1276,-55,-216930,-53410,57890,1
137941,803,1239,-34,-201810,-21700,52990,1
137961,715,1061,-29,-188790,13510,91910,1
137981,618,862,-25,-166390,29610,141820,1
138001,517,693,-6,-148120,45080,144340,1
138021,422,561,13,-138670,67760,114380,1
138041,362,467,29,-124250,79800,95690,1
138061,344,411,30,-99400,73010,96670,1
138081,342,388,20,-68250,56000,91140,1
138101,324,372,35,-37450,46340,61880,1
138121,315,369,45,-8260,46130,20230,1
138141,333,391,38,29890,31640,-17710,1
138161,371,444,32,71610,5670,-47110,1
138181,444,557,21,101570,-8120,-78260,1
138201,526,719,23,121870,-7280,-115010,1
138221,624,908,38,137410,6090,-138180,1
138241,761,1154,38,158060,14350,-130410,1
138261,935,1446,-16,196910,-3780,-109620,1
138281,1012,1562,-67,252000,-37450,-102690,1
138301,849,1307,-1,262920,-14490,-80850,1
138321,711,1101,43,218540,73850,-21980,1
138341,703,1057,23,231210,95550,9170,1
138361,764,1152,0,300160,48720,8610,1
138381,847,1299,8,343700,25340,9800,1
138401,999,1566,-34,351610,40320,17850,1
138421,1042,1672,-49,365960,46480,3780,1
138441,928,1548,26,345660,91000,17360,1
138461,853,1390,31,296380,165270,87500,1
138481,825,1281,-21,323610,150710,156590,1
138501,758,1167,-4,368900,110950,193970,1
138521,729,1146,31,330540,154910,198730,1
138541,775,1222,4,283570,198310,167440,1
138561,763,1226,7,284480,182490,136850,1
138581,700,1143,39,260190,190470,149590,1
138601,666,1046,35,213920,215600,185990,1
138621,628,932,11,207480,192290,217980,1
138641,557,811,30,202440,165130,226380,1
138661,485,710,64,156380,178220,196000,1
138681,438,644,76,106610,189000,148120,1
138701,408,581,69,91000,155120,119630,1
138721,379,519,66,86520,102200,121660,1
138741,354,461,70,63840,65030,132790,1
138761,332,414,79,26740,42700,130410,1
138781,316,385,85,-31360,-15120,51590,1
138801,314,393,75,-45710,-60690,-15960,1
138821,331,430,67,-64050,-103600,-83300,1
138841,356,485,65,-93310,-134470,-133350,1
138861,394,553,64,-126980,-159670,-160580,1
138881,460,658,52,-155050,-187810,-174370,1
138901,572,831,33,-176610,-214550,-190820,1
138921,715,1084,17,-199570,-226520,-221200,1
138941,869,1402,6,-222460,-227920,-261030,1
138961,947,1581,-18,-237790,-231700,-263130,1
138981,884,1427,-35,-250600,-230930,-178220,1
139001,777,1174,-44,-275800,-208110,-62300,1
139021,726,1041,-40,-310660,-171500,-23240,1
139041,779,1130,-37,-340480,-136710,-74830,1
139061,897,1396,-24,-361340,-105490,-162750,1
139081,1038,1746,-27,-354900,-94640,-216930,1
139101,1122,1890,-73,-308910,-113750,-165410,1
139121,1052,1682,-114,-261660,-125580,-21910,1
139141,921,1366,-99,-282380,-65240,95760,1
139161,832,1210,-48,-332220,20160,80640,1
139181,802,1231,-10,-336420,54880,-17220,1
139201,814,1283,-17,-277130,26460,-65520,1
139221,829,1274,-50,-204750,-15260,-19460,1
139241,792,1169,-68,-176610,-9310,61110,1
139261,717,1034,-42,-195650,47390,107380,1
139281,632,895,0,-219170,102970,98070,1
139301,567,799,24,-204400,110040,52640,1
139321,528,742,19,-152670,74060,9100,1
139341,505,703,6,-102410,39480,770,1
139361,477,648,1,-79660,35350,31920,1
139381,428,565,16,-80710,56770,76720,1
139401,381,478,34,-85750,80010,99610,1
139421,349,418,47,-71330,79240,83860,1
139441,332,393,49,-34720,52780,39830,1
139461,331,400,44,9030,18970,-10430,1
139481,342,427,38,46550,-7140,-47460,1
139501,364,466,42,73640,-21070,-59780,1
139521,409,525,47,96040,-31080,-51170,1
139541,489,644,45,120330,-45430,-42840,1
139561,629,889,38,149730,-63490,-55230,1
139581,836,1277,13,188790,-86800,-86520,1
139601,1042,1646,-34,231560,-110670,-110180,1
139621,1104,1744,-71,252350,-111230,-97930,1
139641,899,1393,-18,228340,-52290,-36050,1
139661,686,1052,62,186970,39270,59220,1
139681,620,905,64,201390,54880,111230,1
139701,691,958,4,281260,-12740,109410,1
139721,854,1253,-30,349510,-66150,54110,1
139741,1077,1740,-39,350000,-46270,-26040,1
139761,1231,1997,-71,319830,10080,-57960,1
139781,1037,1740,-12,295050,68600,21840,1
139801,825,1324,22,277200,123760,158760,1
139821,737,1111,-3,311640,117740,229950,1
139841,699,1031,-17,346920,95690,222670,1
139861,669,1015,12,322770,127610,177450,1
139881,720,1136,18,275800,176540,125860,1
139901,790,1260,-5,263900,180250,96320,1
139921,770,1247,0,260680,171850,125090,1
139941,663,1040,24,228200,194810,183610,1
139961,581,882,27,194460,211960,210910,1
139981,503,740,34,183820,196070,201180,1
140001,436,623,48,163520,183890,185430,1
140021,381,533,65,129920,179130,168560,1
140041,344,467,74,101920,161980,149100,1
140061,324,420,72,85330,126910,126700,1
140081,309,388,71,71190,85470,99750,1
140101,294,367,77,48160,52010,66570,1
140121,287,355,83,17360,25060,28560,1
140141,287,362,81,-11480,-7840,-11830,1
140161,310,393,69,-32830,-51380,-53690,1
140181,347,453,63,-51870,-95830,-98350,1
140201,406,552,57,-76160,-129150,-147140,1
140221,503,726,50,-103950,-153440,-198520,1
140241,654,1009,43,-129290,-174370,-247590,1
140261,872,1426,8,-145390,-196070,-288890,1
140281,1035,1744,-26,-149870,-221130,-309890,1
140301,984,1586,-49,-160860,-231840,-270550,1
140321,821,1214,-39,-188440,-214620,-151550,1
140341,718,1021,-18,-228200,-175070,-58030,1
140361,726,1064,-14,-267190,-136290,-80010,1
140381,854,1323,-13,-290780,-116620,-165900,1
140401,1052,1725,-36,-300580,-109620,-232330,1
140421,1177,1976,-67,-295120,-113330,-252630,1
140441,1116,1805,-99,-271740,-122010,-208810,1
140461,943,1416,-94,-252980,-114870,-91700,1
140481,808,1179,-43,-279790,-60200,12670,1
140501,753,1144,-2,-324730,8680,2310,1
140521,778,1220,-3,-331450,32340,-74200,1
140541,836,1290,-41,-282660,-2940,-107590,1
140561,824,1246,-55,-225890,-45920,-72100,1
140581,729,1089,-40,-211960,-37450,-11620,1
140601,629,908,-15,-245140,46690,61180,1
140621,564,780,10,-244160,58520,56700,1
140641,537,741,25,-212800,39970,17500,1
140661,515,737,30,-159110,840,-25200,1
140681,485,693,18,-116270,-32690,-19740,1
140701,450,611,5,-101220,-41370,30380,1
140721,415,526,3,-107870,-21560,76650,1
140741,382,459,15,-116130,8190,87430,1
140761,344,419,48,-109130,26530,60410,1
140781,317,400,77,-71820,6580,16870,1
140801,323,402,64,-5530,-58660,-21280,1
140821,367,449,34,61600,-129640,-56000,1
140841,462,587,6,102410,-162190,-96040,1
140861,575,789,8,112420,-146790,-131110,1
140881,673,1014,48,107940,-106330,-136920,1
140901,790,1214,47,128380,-98840,-101640,1
140921,948,1406,-35,192780,-146860,-58030,1
140941,1015,1499,-74,232260,-154490,-59990,1
140961,867,1345,14,194530,-63070,-78330,1
140981,759,1168,37,179550,2310,-52850,1
141001,740,1061,-3,250460,-31990,1120,1
141021,768,1100,-21,303520,-46900,12110,1
141041,850,1296,3,310030,-9240,-26180,1
141061,1018,1621,-43,332640,7700,-65310,1
141081,1102,1755,-78,362180,12460,-57960,1
141101,936,1531,-17,341460,76580,-10010,1
141121,791,1284,17,317800,145950,66010,1
141141,745,1145,8,342090,148540,149170,1
141161,781,1154,-17,372610,133420,175770,1
141181,852,1323,-35,379540,141330,108850,1
141201,863,1421,-34,359380,173740,28840,1
141221,755,1265,-6,314580,226660,59570,1
141241,637,1045,20,271320,268940,168840,1
141261,568,891,28,257320,269920,239750,1
141281,527,786,25,258930,247100,245490,1
141301,476,685,30,250110,228690,209230,1
141321,430,608,38,222600,222670,154070,1
141341,387,549,46,190750,216860,102900,1
141361,353,503,58,161490,206360,75040,1
141381,327,459,68,132650,190610,73920,1
141401,306,419,78,103670,165900,84140,1
141421,288,375,87,73640,132860,88760,1
141441,273,336,95,46200,91280,74270,1
141461,281,332,95,29610,35840,31430,1
141481,312,383,78,24780,-30870,-42910,1
141501,367,478,60,18410,-92470,-135940,1
141521,457,632,58,-3640,-128660,-224910,1
141541,586,907,59,-39200,-142800,-291340,1
141561,764,1247,51,-71820,-155470,-316890,1
141581,963,1587,15,-85610,-180530,-288120,1
141601,1030,1633,-40,-80010,-218120,-219170,1
141621,886,1327,-41,-86660,-237090,-158480,1
141641,721,1053,-1,-140350,-194320,-140910,1
141661,640,951,23,-204190,-136080,-163030,1
141681,665,995,22,-231980,-123410,-193620,1
141701,798,1221,2,-232470,-145250,-216300,1
141721,1035,1680,-39,-223860,-175840,-261240,1
141741,1191,1997,-74,-222460,-189210,-315560,1
141761,1033,1687,-69,-239890,-165410,-282030,1
141781,839,1256,-36,-273910,-113610,-131460,1
141801,774,1110,-24,-297290,-73850,-22260,1
141821,823,1242,-27,-295400,-68810,-62370,1
141841,889,1415,-19,-285320,-71120,-161000,1
141861,911,1471,-20,-278740,-64470,-192220,1
141881,862,1346,-39,-256060,-71050,-130900,1
141901,768,1154,-40,-224280,-81060,-33320,1
141921,663,953,-15,-224350,-56770,37660,1
141941,574,799,4,-240240,-21700,53900,1
141961,496,686,19,-237650,-11060,22680,1
141981,431,600,29,-219730,-19460,-14910,1
142001,385,531,29,-195650,-36610,-23450,1
142021,352,466,25,-170170,-55930,3290,1
142041,327,410,24,-148540,-70630,45990,1
142061,316,369,26,-132300,-76790,77210,1
142081,298,335,33,-116690,-77490,81620,1
142101,295,328,43,-96600,-76230,58940,1
142121,323,368,46,-66990,-84140,15610,1
142141,378,459,41,-28560,-104510,-39690,1
142161,460,622,45,11200,-126700,-96110,1
142181,595,888,37,51590,-146720,-147000,1
142201,784,1227,11,103740,-179620,-179130,1
142221,1084,1681,-81,157570,-216160,-165410,1
142241,1142,1736,-83,186620,-224350,-111090,1
142261,892,1358,6,160020,-153510,-49840,1
142281,709,1077,38,115010,-46620,-36960,1
142301,665,956,-2,148470,-29330,-59290,1
142321,694,962,-18,234500,-80010,-51310,1
142341,802,1165,-5,274890,-82460,-34790,1
142361,1034,1671,-29,277760,-40180,-64960,1
142381,1261,1997,-116,299740,-18690,-142380,1
142401,1080,1768,-75,346010,-24430,-170100,1
142421,803,1290,-6,338940,38780,-77000,1
142441,647,985,17,329770,152600,128660,1
142461,606,883,22,356860,146230,139720,1
142481,674,994,0,389550,125790,77770,1
142501,841,1311,-54,416430,106540,-13720,1
142521,961,1567,-84,388640,145600,-38290,1
142541,833,1413,-20,298620,254380,47040,1
142561,647,1105,34,242900,318150,161000,1
142581,537,870,46,263200,283080,229880,1
142601,475,712,33,288750,228690,252140,1
142621,425,598,28,282240,204680,231980,1
142641,380,505,30,251790,205520,177520,1
142661,342,450,37,213500,213080,107170,1
142681,303,414,54,173460,219310,47460,1
142701,276,394,81,135800,213780,17710,1
142721,263,378,96,107940,180740,16730,1
142741,264,359,98,90650,120050,29540,1
142761,272,341,86,75460,50540,35910,1
142781,289,331,78,53060,-5950,15400,1
142801,317,367,77,25200,-45010,-46690,1
142821,376,476,67,1120,-79310,-146580,1
142841,476,676,57,-19110,-110670,-258580,1
142861,627,992,55,-44100,-129500,-348670,1
142881,852,1457,50,-70840,-141960,-376670,1
142901,1085,1844,-7,-75600,-173460,-302120,1
142921,1048,1601,-72,-55090,-219590,-146580,1
142941,838,1190,-34,-92400,-193340,-60270,1
142961,683,991,23,-182280,-108220,-114240,1
142981,673,1021,31,-220640,-80920,-211540,1
143001,785,1226,15,-210980,-111720,-267890,1
143021,997,1606,-16,-199640,-145810,-282590,1
143041,1202,1989,-75,-187320,-169960,-286720,1
143061,1174,1905,-104,-191940,-160930,-250880,1
143081,951,1460,-47,-247450,-89460,-141400,1
143101,808,1206,-3,-294560,-27650,-73430,1
143121,795,1202,-19,-276780,-42350,-121170,1
143141,836,1285,-31,-246610,-72870,-177520,1
143161,869,1344,-30,-245980,-69230,-169470,1
143181,866,1346,-28,-253820,-50680,-127540,1
143201,793,1223,-20,-247940,-40740,-80290,1
143221,703,1042,-13,-237720,-37450,-29050,1
143241,626,879,-10,-229530,-38290,-560,1
143261,554,772,0,-228200,-32550,-12810,1
143281,484,689,20,-232050,-17780,-36610,1
143301,422,603,37,-229110,-11830,-30310,1
143321,380,522,38,-209230,-31500,4760,1
143341,358,460,29,-179550,-65310,38150,1
143361,349,421,21,-151970,-91560,47810,1
143381,343,409,26,-131530,-101010,32200,1
143401,337,415,45,-116340,-96180,3360,1
143421,342,432,52,-96390,-97650,-25830,1
143441,361,461,51,-63910,-119700,-48930,1
143461,406,534,41,-23940,-153370,-67900,1
143481,494,668,27,18830,-188090,-88060,1
143501,599,855,33,58450,-211890,-108640,1
143521,722,1090,26,92400,-222810,-125440,1
143541,888,1340,-33,132020,-245140,-135100,1
143561,1011,1532,-66,157220,-254940,-134260,1
143581,880,1346,12,131460,-193270,-118370,1
143601,749,1138,45,93310,-101010,-82180,1
143621,735,1045,-14,138740,-104020,-64050,1
143641,789,1101,-46,228060,-159810,-62160,1
143661,824,1224,0,243250,-132300,-90650,1
143681,959,1543,0,213220,-52080,-140280,1
143701,1130,1824,-76,244160,-40600,-179690,1
143721,1071,1699,-67,304570,-60830,-153510,1
143741,876,1364,-20,304010,-5390,-72240,1
143761,787,1185,-17,292320,65520,-3080,1
143781,765,1151,-19,314580,88690,17570,1
143801,791,1241,-17,336770,102410,-7700,1
143821,844,1352,-38,356790,114030,-45360,1
143841,807,1279,-43,372890,122780,-32970,1
143861,710,1109,-14,354270,163170,41720,1
143881,614,967,14,313320,222950,101640,1
143901,552,865,15,295120,249410,109200,1
143921,486,749,24,301420,236880,110810,1
143941,435,641,26,297920,224770,133490,1
143961,391,554,27,279930,220850,151970,1
143981,355,487,32,255220,220850,145880,1
144001,323,438,40,224770,225610,120540,1
144021,295,400,60,189210,231700,87010,1
144041,270,369,79,155540,227010,55300,1
144061,264,349,82,130760,200270,29960,1
144081,277,346,77,116690,150920,10850,1
144101,301,361,67,105770,93870,-9870,1
144121,344,408,60,86030,50050,-41510,1
144141,406,504,60,54740,25480,-90510,1
144161,505,688,70,17850,15750,-157920,1
144181,671,1059,82,-12530,7560,-240940,1
144201,988,1714,11,-18270,-21560,-332080,1
144221,1186,1996,-69,15820,-90650,-392420,1
144241,935,1448,-31,33110,-135310,-318710,1
144261,690,936,39,-108850,-4130,24850,1
144281,601,790,44,-114240,-14980,-68110,1
144301,651,957,32,-93380,-63280,-253540,1
144321,805,1318,29,-95620,-89530,-392140,1
144341,1122,1930,-29,-91560,-119070,-429240,1
144361,1329,1997,-97,-88340,-126980,-336770,1
144381,1104,1748,-45,-125020,-75530,-140630,1
144401,861,1215,-12,-159320,-33250,-44310,1
144421,747,1075,-4,-162610,-36190,-162330,1
144441,725,1148,18,-182560,-25900,-305830,1
144461,757,1236,38,-189700,-26530,-308350,1
144481,849,1334,-3,-159740,-70070,-205310,1
144501,884,1332,-35,-138600,-103180,-117810,1
144521,782,1166,-6,-169540,-73010,-89530,1
144541,673,983,1,-199500,-45150,-109060,1
144561,581,837,15,-216300,-34300,-130480,1
144581,504,737,37,-231700,-24360,-134050,1
144601,440,663,60,-226870,-36400,-113470,1
144621,404,598,52,-195720,-81620,-63700,1
144641,376,523,24,-163590,-134400,-3010,1
144661,354,445,10,-160230,-152460,41440,1
144681,341,392,15,-181650,-132440,48790,1
144701,350,400,27,-197400,-104790,3990,1
144721,348,476,81,-187600,-93100,-74340,1
144741,342,561,116,-147770,-121590,-118370,1
144761,386,589,67,-68950,-225960,-84210,1
144781,485,655,4,15470,-345940,-23240,1
144801,640,855,-51,59990,-392420,-18900,1
144821,735,1056,-4,40670,-335440,-62160,1
144841,785,1252,87,-11550,-231000,-83510,1
144861,890,1370,5,24010,-243040,-78330,1
144881,966,1451,-97,129850,-335020,-99190,1
144901,841,1280,-12,142240,-307370,-139020,1
144921,748,1134,38,87080,-194670,-98350,1
144941,807,1121,-10,118020,-181930,-32690,1
144961,914,1317,-40,180040,-197820,-44940,1
144981,965,1581,3,193270,-157290,-172690,1
145001,1116,1844,-84,222880,-138110,-266000,1
145021,1095,1695,-95,275450,-147630,-208180,1
145041,883,1348,6,235760,-43120,-58940,1
145061,772,1167,29,207550,57400,4060,1
145081,833,1244,-58,297290,15680,-39200,1
145101,900,1372,-83,374500,-26320,-109620,1
145121,913,1488,-48,348950,46970,-143780,1
145141,834,1382,-16,306180,142520,-111160,1
145161,720,1133,-1,302820,187460,17220,1
145181,611,907,16,318850,200900,127680,1
145201,585,866,-14,352310,186970,121940,1
145221,564,845,-35,387520,161700,60480,1
145241,495,748,-19,367640,188930,40320,1
145261,419,643,14,298970,261870,62790,1
145281,365,564,43,242130,312830,83230,1
145301,339,511,47,226730,308560,94640,1
145321,318,464,45,230510,272440,105840,1
145341,291,409,57,221900,241710,115570,1
145361,268,350,73,196630,220640,114240,1
145381,259,307,72,172760,190050,90720,1
145401,262,297,59,158760,145180,39270,1
145421,282,323,53,144060,106610,-35280,1
145441,311,385,63,115780,89740,-121030,1
145461,370,505,78,79310,84910,-204120,1
145481,483,711,82,50610,69300,-270830,1
145501,691,1085,68,40040,31570,-311710,1
145521,1051,1757,-5,49210,-21070,-330120,1
145541,1270,1997,-85,72030,-75250,-331170,1
145561,979,1527,-35,60060,-81620,-267890,1
145581,691,980,51,-14700,-8260,-124810,1
145601,608,843,53,-65730,37800,-66850,1
145621,658,957,39,-45780,-9170,-147280,1
145641,844,1336,20,-25620,-63910,-259210,1
145661,1135,1937,-33,-33460,-91630,-356510,1
145681,1299,1997,-66,-43820,-110740,-420350,1
145701,1099,1779,-30,-60900,-99610,-359660,1
145721,886,1276,-3,-90090,-63000,-166460,1
145741,790,1145,-5,-102550,-50120,-71540,1
145761,780,1232,6,-105280,-61320,-189910,1
145781,793,1309,35,-130970,-52010,-325080,1
145801,854,1367,8,-149100,-46830,-317380,1
145821,848,1302,-14,-130270,-84490,-217840,1
145841,765,1139,-3,-119140,-111230,-128100,1
145861,673,973,2,-143360,-97020,-91910,1
145881,569,814,20,-174230,-79450,-104860,1
145901,481,710,48,-205170,-61740,-133560,1
145921,413,632,70,-231070,-48160,-143640,1
145941,380,570,55,-228550,-69650,-117460,1
145961,364,519,31,-196910,-128940,-66010,1
145981,350,462,14,-169680,-182560,-11410,1
146001,323,413,12,-169820,-197960,26880,1
146021,304,382,35,-188370,-181580,39340,1
146041,291,373,49,-202510,-160930,28770,1
146061,292,395,63,-195300,-161910,2310,1
146081,299,429,68,-168560,-186970,-44240,1
146101,342,485,52,-71540,-303030,-45710,1
146121,427,589,22,-12810,-368900,-51800,1
146141,564,799,-7,28630,-401800,-82110,1
146161,730,1096,-13,34930,-384930,-121870,1
146181,911,1438,-8,19530,-340830,-132860,1
146201,1034,1619,-38,24080,-313950,-110320,1
146221,957,1469,-37,51240,-297010,-96810,1
146241,819,1228,-17,74130,-263900,-101360,1
146261,740,1064,-12,93520,-229320,-87220,1
146281,757,1043,-17,108220,-193970,-82110,1
146301,852,1240,-10,118160,-151620,-136500,1
146321,1074,1724,-33,151970,-134610,-253330,1
146341,1271,1997,-125,220010,-154840,-303730,1
146361,1148,1799,-106,242130,-115080,-198380,1
146381,897,1366,-16,192010,16940,-66640,1
146401,772,1161,11,198870,81550,-42560,1
146421,781,1177,-38,282170,47250,-90650,1
146441,822,1274,-66,345310,25480,-152180,1
146461,843,1350,-60,345170,71750,-165970,1
146481,791,1270,-33,314720,150500,-99050,1
146501,706,1106,-8,293860,213640,10430,1
146521,626,969,8,307370,231070,61040,1
146541,579,889,-2,345800,211890,50470,1
146561,533,810,-10,371980,195370,43400,1
146581,479,718,-14,359660,211960,62300,1
146601,417,618,-2,317380,253680,85120,1
146621,358,538,18,269010,297080,92400,1
146641,317,478,41,234430,317520,87220,1
146661,293,438,59,218610,305620,80360,1
146681,286,412,68,214410,266840,74900,1
146701,288,384,64,210840,215950,66150,1
146721,293,357,53,197260,171710,44660,1
146741,295,346,48,170100,146860,1400,1
146761,305,365,55,133980,139020,-65800,1
146781,347,448,65,99470,133000,-148330,1
146801,424,598,70,75600,114800,-227920,1
146821,574,862,65,63070,83580,-288540,1
146841,817,1322,47,59010,46970,-323750,1
146861,1126,1892,-26,71050,3080,-330120,1
146881,1132,1818,-68,88060,-35420,-283010,1
146901,826,1236,12,37030,6860,-161770,1
146921,628,890,76,-36960,76230,-76370,1
146941,624,881,47,-29120,45080,-120120,1
146961,721,1081,28,13440,-33600,-226100,1
146981,927,1501,13,7980,-62930,-323680,1
147001,1206,1997,-37,-12110,-73500,-390320,1
147021,1244,1997,-62,-16170,-83930,-372540,1
147041,959,1484,7,-41440,-57470,-227010,1
147061,786,1124,18,-77840,-22120,-93240,1
147081,743,1101,-1,-64400,-51030,-139650,1
147101,754,1188,17,-69930,-68180,-269220,1
147121,784,1280,46,-111090,-46410,-318290,1
147141,856,1360,8,-119910,-59080,-267960,1
147161,844,1295,-9,-93030,-110040,-184520,1
147181,751,1120,2,-103460,-116480,-120190,1
147201,662,965,9,-141470,-93310,-103740,1
147221,576,843,21,-166110,-84000,-124810,1
147241,475,718,51,-190050,-75110,-141400,1
147261,398,607,66,-209930,-74620,-119280,1
147281,352,512,50,-206640,-106820,-61250,1
147301,335,447,26,-185780,-161070,-2590,1
147321,319,408,16,-174790,-195790,26740,1
147341,295,380,27,-185360,-192640,24710,1
147361,269,356,49,-203070,-171990,10500,1
147381,253,348,62,-205170,-168070,-630,1
147401,265,366,59,-182420,-199220,-8050,1
147421,296,407,50,-144900,-251230,-18130,1
147441,344,483,41,-106050,-302750,-33110,1
147461,431,611,24,-68320,-346150,-52640,1
147481,598,882,5,-29120,-382270,-77910,1
147501,814,1277,-20,2940,-403970,-112420,1
147521,1025,1657,-46,12670,-399980,-145110,1
147541,1043,1639,-48,7910,-373870,-138530,1
147561,862,1306,-24,9870,-335300,-90300,1
147581,728,1052,-14,23730,-294910,-62370,1
147601,676,928,-9,45780,-262080,-58940,1
147621,716,986,-2,62370,-227850,-66150,1
147641,869,1334,-5,74270,-192080,-118020,1
147661,1129,1919,-65,104790,-177590,-231630,1
147681,1260,1997,-123,160790,-191660,-325290,1
147701,1004,1521,-63,193970,-173250,-256760,1
147721,780,1135,7,162540,-66080,-92120,1
147741,696,1008,10,143850,29470,-29400,1
147761,721,1068,-25,192150,35560,-77210,1
147781,822,1269,-58,263900,3920,-149870,1
147801,907,1444,-63,301210,7070,-200830,1
147821,858,1377,-39,289940,65870,-184660,1
147841,713,1108,4,256270,153930,-78050,1
147861,611,922,9,245980,213010,36750,1
147881,562,839,-15,286580,205800,60130,1
147901,512,756,-27,341250,172130,30170,1
147921,437,652,-13,316610,231350,54530,1
147941,374,550,7,271530,286510,75180,1
147961,334,499,18,243390,312970,80780,1
147981,310,465,28,228900,315910,83860,1
148001,293,429,46,217210,307930,86310,1
148021,296,413,59,213850,280420,75110,1
148041,335,439,42,222460,231910,40530,1
148061,378,471,14,222320,196910,-9660,1
148081,399,501,8,190960,209650,-71470,1
148101,412,562,37,142450,250600,-146230,1
148121,457,694,72,119560,262500,-216020,1
148141,579,899,48,140490,216790,-240170,1
148161,720,1095,29,160160,168980,-203070,1
148181,795,1209,44,145810,163310,-152320,1
148201,832,1284,32,143920,148470,-150360,1
148221,857,1244,-29,169400,103250,-177800,1
148241,703,1093,71,175910,75880,-198380,1
148261,668,1001,40,190400,71400,-225470,1
148281,83,256,7,277620,-7630,-304850,1
148301,1546,1997,-1021,642110,-354830,-860370,1
148321,1559,1997,-188,583310,-266630,-1277570,1
148341,-231,-1025,535,583730,199290,-638400,1
148361,1339,1997,-690,863240,447440,-650300,1
148381,139,958,-728,695310,1002680,-476770,1
148401,-1658,388,-119,669060,1527750,-239120,1
148421,-138,1486,-599,809760,1612660,-771190,1
148441,846,1997,-298,909860,1072680,-1356600,1
148461,755,1991,-391,892080,899500,-1074780,1
148481,706,1997,-92,705180,873460,-709870,1
148501,889,1924,1679,890750,488110,-503230,1
148521,560,167,561,582190,357490,116760,1
148541,596,477,-424,-523180,-32760,338380,1
148561,383,676,-142,-834260,-286650,313530,1
148581,641,1154,-201,-744170,-315140,444710,1
148601,215,1449,-594,-613760,-194250,206290,1
148621,-1403,1719,404,-591500,-421400,232050,1
179917,297,774,-44,-515970,-351260,211050,1
