T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps],LabelX,LabelY
12693,581,835,66,-22330,-43330,-12880,0,0
12713,573,832,73,-29540,-44030,-40320,0,0
12733,565,819,73,-38920,-44590,-37380,0,0
12753,561,799,68,-43680,-51940,-14910,0,0
12773,564,787,63,-41510,-66290,8610,0,0
12793,572,793,56,-38710,-77910,17010,0,0
12813,585,817,57,-40110,-80360,3780,0,0
12833,593,850,62,-46900,-73290,-25690,0,0
12853,588,865,70,-55440,-59570,-53760,0,0
12873,577,837,67,-53270,-68320,-24080,0,0
12893,565,794,57,-42910,-81480,11130,0,0
12913,561,766,51,-37170,-85260,18270,0,0
12933,559,768,51,-40670,-74130,-3710,0,0
12953,565,789,55,-47810,-57750,-30660,0,0
12973,573,814,61,-51310,-46690,-44100,0,0
12993,580,833,62,-48300,-43330,-41300,0,0
13013,585,841,64,-37800,-47600,-25480,0,0
13033,593,840,59,-24640,-54110,-4130,0,0
13053,603,839,48,-15120,-55230,8330,0,0
13073,617,852,45,-15260,-42630,840,0,0
13093,614,867,54,-24080,-17640,-18620,0,0
13113,603,865,65,-29120,3220,-28910,0,0
13133,585,842,68,-19390,4550,-18900,0,0
13153,569,808,60,70,-7700,4760,0,0
13173,557,769,49,15050,-15540,24430,0,0
13193,545,745,50,15820,-6160,27580,0,0
13213,542,742,57,8610,12810,15260,0,0
13233,554,773,63,5390,26180,-5390,0,0
13253,573,817,62,11130,27650,-20020,0,0
13273,591,849,58,20020,23940,-15260,0,0
13293,596,846,60,24990,24990,7630,0,0
13313,595,837,61,27440,29400,27790,0,0
13333,602,843,56,31010,32550,26950,0,0
13353,607,855,55,33670,37310,11760,0,0
13373,597,854,60,31080,48020,210,0,0
13393,586,836,66,28980,56770,4690,0,0
13413,578,828,66,34090,54110,15190,0,0
13433,583,826,60,42700,44870,21630,0,0
13453,586,824,55,46200,40810,27720,0,0
13473,583,821,63,39760,48090,29750,0,0
13493,575,816,66,32060,57190,20720,0,0
13513,566,812,70,31780,56280,8260,0,0
13533,559,796,65,35910,47320,9590,0,0
13553,550,774,64,37800,38500,21630,0,0
13573,550,773,64,33530,37100,26460,0,0
13593,556,786,65,27580,37590,22260,0,0
13613,570,807,69,22050,36680,17290,0,0
13633,590,834,69,18760,33040,11270,0,0
13653,604,866,69,20650,25270,1750,0,0
13673,614,887,69,23310,17780,-4900,0,0
13693,611,877,65,23100,12040,1750,0,0
13713,595,848,62,18340,10290,17990,0,0
13733,576,811,66,9380,13860,27580,0,0
13753,561,794,70,1050,18200,23520,0,0
13773,562,798,70,1120,12670,8890,0,0
13793,574,813,65,8260,-2170,-2870,0,0
13813,581,824,62,12600,-15400,-4550,0,0
13833,581,819,63,4970,-14630,-350,0,0
13853,568,807,70,-8050,-6370,3920,0,0
13873,563,798,70,-15260,-4760,6720,0,0
13893,572,802,67,-12740,-14840,6230,0,0
13913,586,826,63,-6650,-27230,-2800,0,0
13933,592,848,62,-5530,-31500,-18340,0,0
13953,586,841,66,-11200,-28000,-23170,0,0
13973,569,808,66,-18970,-23870,-8890,0,0
13993,550,772,64,-21700,-25970,10570,0,0
14013,549,762,63,-18830,-32480,16310,0,0
14033,559,779,61,-16100,-36610,2100,0,0
14053,575,815,59,-16170,-35980,-18410,0,0
14073,598,852,63,-17570,-34230,-29540,0,0
14093,613,881,64,-19530,-32130,-28630,0,0
14113,617,886,59,-19950,-30940,-19110,0,0
14133,608,860,59,-17990,-31290,-3220,0,0
14153,597,833,59,-16450,-29610,8960,0,0
14173,591,825,58,-14700,-26040,3780,0,0
14193,585,834,60,-12600,-21140,-15680,0,0
14213,580,830,63,-12180,-15470,-27930,0,0
14233,570,806,60,-12390,-11830,-16380,0,0
14253,561,783,61,-11550,-10850,5600,0,0
14273,557,773,59,-9520,-9730,13790,0,0
14293,555,776,61,-6160,-8190,4340,0,0
14313,561,785,59,-1960,-8050,-6510,0,0
14333,576,808,56,1540,-8260,-10570,0,0
14353,589,840,62,2030,-4970,-14700,0,0
14373,600,859,65,140,1470,-16940,0,0
14393,597,846,63,140,5040,-5180,0,0
14413,591,824,59,2520,5040,14630,0,0
14433,584,816,59,6650,4760,18900,0,0
14453,579,822,61,9800,7980,2450,0,0
14473,574,816,62,10430,13160,-12040,0,0
14493,571,807,64,9240,17010,-6230,0,0
14513,573,807,63,8680,18340,8330,0,0
14533,583,824,64,10150,17990,14840,0,0
14553,591,837,62,13160,16450,12040,0,0
14573,594,841,61,15260,16030,7770,0,0
14593,587,832,63,15470,17920,5040,0,0
14613,573,816,66,13650,22120,2800,0,0
14633,567,803,66,12740,23870,5110,0,0
14653,565,796,63,14350,20440,14000,0,0
14673,572,803,61,15190,16310,17360,0,0
14693,583,823,63,14140,16870,9800,0,0
14713,595,848,64,13160,17150,1680,0,0
14733,598,857,65,12880,16310,-1960,0,0
14753,594,849,63,12040,15750,3080,0,0
14773,578,823,68,10150,15190,14770,0,0
14793,564,796,66,9800,12320,23240,0,0
14813,561,784,64,10570,8260,21000,0,0
14833,560,782,61,9800,6230,11550,0,0
14853,564,796,65,6300,7630,1400,0,0
14873,575,818,68,4620,6510,-4620,0,0
14893,589,841,66,5740,1400,-3990,0,0
14913,596,853,65,6720,-3850,3080,0,0
14933,591,834,64,4690,-4760,14560,0,0
14953,582,817,65,1120,-2800,18060,0,0
14973,574,811,66,-280,-1960,6440,0,0
14993,576,819,64,980,-4480,-6650,0,0
15013,574,813,65,1120,-7070,-4410,0,0
15033,574,808,66,-1120,-7700,5460,0,0
15053,575,810,63,-1610,-9170,7140,0,0
15073,582,822,63,-490,-11410,2450,0,0
15093,585,824,63,-1120,-11830,1610,0,0
15113,586,825,63,-3150,-9730,1330,0,0
15133,593,842,64,-2520,-9240,-7630,0,0
15153,595,851,65,-1190,-9520,-15330,0,0
15173,588,837,64,-1750,-9240,-7980,0,0
15193,578,810,63,-2240,-9100,7630,0,0
15213,566,790,61,-1470,-9240,10150,0,0
15233,555,783,63,-1260,-8050,210,0,0
15253,560,785,63,-910,-7420,-6510,0,0
15273,572,800,61,-420,-7630,-10010,0,0
15293,584,830,63,280,-7700,-17850,0,0
15313,592,851,64,630,-6930,-19950,0,0
15333,595,844,63,1190,-7280,-5180,0,0
15353,595,835,60,2870,-9100,10220,0,0
15373,598,840,59,4900,-9170,4620,0,0
15393,588,838,63,3640,-3640,-10850,0,0
15413,573,814,66,-1120,4550,-11970,0,0
15433,565,793,66,-1470,5250,140,0,0
15453,562,789,61,4130,-1400,7000,0,0
15473,564,792,59,8400,-6160,5110,0,0
15493,566,793,61,5880,-2660,5390,0,0
15513,567,790,61,840,3500,8050,0,0
15533,569,801,63,-980,6440,3010,0,0
15553,575,821,64,840,5880,-9170,0,0
15573,579,829,63,4690,2520,-9170,0,0
15593,583,822,61,7140,-910,7070,0,0
15613,591,828,60,7840,-1680,19250,0,0
15633,608,862,61,8680,420,12740,0,0
15653,627,895,64,10570,3430,490,0,0
15673,643,926,64,14210,4900,-3710,0,0
15693,648,934,60,21770,2170,-3570,0,0
15713,625,895,56,29260,70,3010,0,0
15733,589,830,57,26670,9030,16660,0,0
15753,557,769,58,22050,21000,28700,0,0
33034,566,783,-231,-17780,-1050,-5320,0,0
33054,570,790,-234,-23100,4130,-2310,0,0
33074,567,787,-225,-12880,1120,-630,0,0
33094,558,793,-214,-7700,-4130,-2240,0,0
33114,549,787,-189,-3570,-6090,-1190,0,0
33134,571,795,-187,1120,-2380,2800,0,0
33154,579,800,-206,-8050,2520,280,0,0
33174,596,787,-223,-17010,4130,-2730,0,0
33194,579,800,-199,-9590,2380,-630,0,0
33214,576,807,-203,-210,1820,3570,0,0
33234,581,813,-209,3640,-700,2520,0,0
33254,573,805,-226,4480,-3150,420,0,0
33274,560,815,-212,1820,-1960,-210,0,0
33294,570,808,-217,4270,-980,2520,0,0
33314,550,808,-221,2450,-560,840,0,0
33334,562,810,-223,-3290,1330,490,0,0
33354,553,814,-181,-2590,1190,1400,0,0
33374,576,800,-193,2730,490,1820,0,0
33394,574,801,-194,-2310,1120,-1750,0,0
33414,541,785,-164,-11620,2800,-3990,0,0
33434,564,797,-197,-17850,1960,-6370,0,0
33454,564,805,-196,-20580,280,-6020,0,0
33474,571,809,-188,-9870,-1540,-3780,0,0
33494,562,810,-143,1820,1540,-1120,0,0
33514,578,821,-160,-3430,3780,-3640,0,0
33534,548,811,-179,-9240,980,-3850,0,0
33554,547,798,-180,-3990,-3010,-2240,0,0
33574,519,796,-154,4480,-4060,-140,0,0
33594,509,799,-134,7980,-2310,3430,0,0
33614,540,774,-122,-4340,-1330,-1540,0,0
33634,594,859,-167,-28840,700,-12950,0,0
33654,524,851,-157,-42210,3850,-12040,0,0
33674,527,835,-137,-38710,7000,-9380,0,0
33694,537,855,-107,-38010,5250,-14770,0,0
33714,559,847,-77,-43750,-2030,-14070,0,0
33734,579,838,-87,-47810,-14630,-7140,0,0
33754,569,829,-163,-43400,-18970,2800,0,0
33774,518,813,-128,-17150,-10220,19950,0,0
33794,530,844,-55,18480,210,23730,0,0
33814,527,855,-49,24430,3290,17430,0,0
33834,525,827,-85,9030,4900,8890,0,0
33854,564,832,-107,-5250,4340,-1190,0,0
33874,543,841,-83,-5320,4340,-2240,0,0
33894,537,826,-68,-1050,1540,1400,0,0
33914,572,830,-58,-2450,-1120,1610,0,0
33934,579,828,-74,-10710,-4200,10010,0,0
33954,571,830,-57,-24850,-2870,27440,0,0
33974,574,829,-64,-42280,-10990,36120,0,0
33994,587,834,-59,-56280,-21070,36400,0,0
34014,604,821,-52,-54880,-24010,38080,0,0
34034,578,798,-79,-44100,-23870,36680,0,0
34054,572,805,-51,-26180,-14350,29330,0,0
34074,580,812,-14,-1120,-10780,17570,0,0
34094,609,810,0,13930,-5460,840,0,0
34114,621,803,-10,10010,-3990,-7840,0,0
34134,614,800,-39,2590,1190,-5250,0,0
34154,595,799,-46,-770,2380,1610,0,0
34174,589,795,-33,-350,3290,4760,0,0
34194,602,804,-23,1890,4060,2800,0,0
34214,607,811,-23,3780,1120,1190,0,0
34234,609,830,-21,4130,210,1750,0,0
34254,618,824,-29,2520,2030,70,0,0
34274,598,816,-37,1260,280,-2170,0,0
34294,584,810,-52,560,-490,560,0,0
34314,582,813,-35,1120,-420,1120,0,0
34334,581,813,-28,5460,140,-210,0,0
34354,575,812,-28,6300,-1400,980,0,0
34374,580,802,-34,3150,-280,2800,0,0
34394,591,805,-36,420,-490,350,0,0
34414,600,810,-34,490,-1680,-1400,0,0
34434,600,805,-25,1050,-2030,-1540,0,0
34454,579,794,-35,2030,-3570,-630,0,0
34474,576,805,-33,2590,-6020,2940,0,0
34494,593,805,-42,4130,-6160,1190,0,0
34514,611,812,-25,5740,-5390,-3010,0,0
34534,626,811,-30,7280,1540,-4550,0,0
34554,616,812,-29,2450,4550,-4130,0,0
34574,592,796,-13,2940,910,-1260,0,0
34594,617,813,-54,5880,-3780,1400,0,0
34614,546,794,7,-6020,-14910,3640,0,0
34634,586,805,-2,-11060,-6720,11900,0,0
34654,605,807,-24,-20860,-15610,17290,0,0
34674,613,821,-21,-31220,-17990,17500,0,0
34694,619,826,-32,-41090,-18130,9380,0,0
34714,583,791,-42,-34930,-25620,1680,0,0
34734,599,807,-36,-24570,-32830,-1680,0,0
34754,622,841,-14,-10220,-38570,4200,0,0
34774,612,810,-26,3430,-43120,4410,0,0
34794,603,790,-23,2170,-39550,-4970,0,0
34814,611,807,-15,-4480,-19950,-7840,0,0
34834,584,776,-12,-4760,490,-4480,0,0
34854,598,784,1,-9030,16380,-910,0,0
34874,605,808,37,-18060,24780,6510,0,0
34894,582,809,-53,-28700,25060,12040,0,0
34914,532,815,-41,-34020,12740,17220,0,0
34934,600,782,14,-14420,2870,16310,0,0
34954,615,798,32,5110,-2450,4690,0,0
34974,622,807,15,4690,-7560,1680,0,0
34994,592,812,7,-5530,-14210,5880,0,0
35014,604,801,-4,-7630,-15960,11970,0,0
35034,617,802,9,-6930,-16660,8260,0,0
35054,618,806,2,-490,-15540,980,0,0
35074,595,781,0,3500,-15120,-3500,0,0
35094,577,751,12,840,-11550,-2940,0,0
35114,587,757,30,2800,-9730,-3640,0,0
35134,656,854,20,4760,-16100,-5740,0,0
35154,661,863,-31,5460,-31010,-9590,0,0
35174,591,823,12,-13860,-24360,-8330,0,0
35194,598,825,15,-41510,15330,-2100,0,0
35214,587,790,15,-28770,12040,420,0,0
35234,577,778,28,-14700,-10220,19740,0,0
35254,579,769,36,-32830,-26670,17920,0,0
35274,598,784,34,-23100,-57820,17920,0,0
35294,632,817,3,-26530,-80220,2310,0,0
35314,642,833,-13,-60060,-63210,-17780,0,0
35334,625,833,10,-69580,-37590,-17850,0,0
35354,596,811,31,-36050,-45150,210,0,0
35374,601,798,2,-7280,-71610,12390,0,0
35394,570,765,5,-19740,-65240,9800,0,0
35414,584,782,16,-40180,-45080,-2100,0,0
35434,599,813,42,-43260,-43890,490,0,0
35454,613,813,37,-46760,-57330,18760,0,0
35474,620,834,41,-61950,-71400,13230,0,0
35494,641,828,37,-73010,-89320,-6790,0,0
35514,793,704,-174,-67760,-117110,-8540,0,0
35534,615,741,21,-23100,-68110,31220,0,0
35554,589,715,17,-7980,2380,42560,0,0
35574,602,765,52,-19530,18480,770,0,0
35594,601,803,54,-13860,2520,-13230,0,0
35614,626,833,22,210,-48370,-26670,0,0
35634,613,821,28,-11970,-62720,-26880,0,0
35654,601,817,44,-39830,-52360,-5670,0,0
35674,607,811,31,-52290,-62090,16170,0,0
35694,600,786,26,-57330,-78330,38010,0,0
35714,583,758,41,-74550,-78120,36190,0,0
35734,583,781,44,-88340,-85470,-770,0,0
35754,611,828,26,-79520,-116900,-37590,0,0
35774,630,856,13,-71960,-142590,-41160,0,0
35794,629,855,17,-88760,-136150,-15050,0,0
35814,611,818,30,-110110,-119350,21910,0,0
35834,610,800,21,-110110,-124040,37660,0,0
35854,607,798,12,-99400,-141890,17010,0,0
35874,591,783,21,-103880,-140840,-10360,0,0
35894,581,779,24,-112000,-134400,-21700,0,0
35914,588,784,14,-109620,-139440,-18480,0,0
35934,600,794,11,-105350,-143360,-4340,0,0
35954,596,784,20,-107940,-135310,15470,0,0
35974,607,788,15,-107240,-129850,23940,0,0
35994,633,821,3,-96460,-135450,6370,0,0
36014,642,848,3,-90580,-131740,-23170,0,0
36034,623,840,18,-95760,-110530,-34790,0,0
36054,601,806,20,-94080,-95830,-16870,0,0
36074,590,767,8,-75810,-101430,15400,0,0
36094,589,739,4,-58590,-104930,37660,0,0
36114,592,741,8,-55160,-90300,34370,0,0
36134,607,775,11,-56910,-68040,5810,0,0
36154,626,821,10,-53690,-52010,-28420,0,0
36174,633,845,18,-46760,-39970,-39830,0,0
36194,636,842,18,-35140,-32130,-21630,0,0
36214,643,834,7,-14490,-33810,6720,0,0
36234,638,814,-1,4900,-33110,25550,0,0
36254,613,777,6,8050,-12530,29050,0,0
36274,588,750,17,1540,19250,17220,0,0
36294,579,752,22,3430,38710,-3710,0,0
36314,591,775,19,18900,38920,-18270,0,0
36334,607,793,11,39200,31640,-14350,0,0
36354,614,791,10,51310,34160,6930,0,0
36374,618,794,10,52430,49210,23450,0,0
36394,629,815,14,50960,66570,16450,0,0
36414,635,842,19,52990,79100,-6930,0,0
36434,626,841,22,58940,85050,-24430,0,0
36454,612,814,18,69300,83160,-18480,0,0
36474,593,774,14,80150,78050,7000,0,0
36494,572,737,16,82110,81480,31990,0,0
36514,562,721,25,74970,93310,38710,0,0
36534,538,755,72,69020,100590,23590,0,0
36554,622,823,23,66640,83440,-10710,0,0
36574,657,883,15,60970,47460,-44870,0,0
36594,660,895,23,56350,45430,-39550,0,0
36614,570,856,88,45780,57400,-6790,0,0
36634,553,808,62,40530,57610,25060,0,0
36654,612,814,20,26530,17570,23870,0,0
36674,598,791,33,-5110,-19950,2940,0,0
36694,598,780,29,-22470,-18830,3080,0,0
36714,613,797,13,-18760,-30100,3990,0,0
36734,604,796,25,-13860,-39550,-1050,0,0
36754,590,775,41,-27930,-24430,2800,0,0
36774,607,791,25,-35980,-19460,10010,0,0
36794,633,815,4,-19460,-44520,2590,0,0
36814,622,822,19,-12040,-54460,-12110,0,0
36834,602,806,35,-30660,-29050,-16380,0,0
36854,606,791,25,-40110,-15120,-3290,0,0
36874,617,794,8,-24920,-32970,12390,0,0
36894,596,772,22,-14210,-44170,15330,0,0
36914,588,769,31,-24640,-25900,11200,0,0
36934,598,781,20,-28000,-16450,840,0,0
36954,618,804,10,-16730,-27510,-7770,0,0
36974,624,815,19,-12040,-29750,-7070,0,0
36994,621,821,30,-18900,-13930,-1960,0,0
37014,627,823,20,-18690,-5740,910,0,0
37034,615,797,14,-5390,-15330,3080,0,0
37054,595,766,22,420,-15890,12390,0,0
