T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
13091, -101, 13, 1019, 2450, -210, 1890
13111, -103, 12, 1019, 2450, -210, 1890
13131, -101, 13, 1021, 2450, -210, 1820
13151, -104, 12, 1019, 2450, -210, 1820
13171, -102, 12, 1020, 2450, -210, 1890
13191, -101, 12, 1020, 2450, -210, 1890
13211, -101, 12, 1018, 2450, -210, 1890
13231, -103, 11, 1018, 2450, -210, 1820
13251, -101, 10, 1020, 2450, -140, 1820
13271, -101, 11, 1018, 2450, -210, 1890
13291, -103, 11, 1019, 2450, -210, 1820
13311, -101, 10, 1019, 2450, -210, 1820
13331, -103, 12, 1020, 2450, -210, 1820
13351, -102, 11, 1021, 2450, -210, 1820
13371, -103, 11, 1018, 2380, -210, 1820
13391, -102, 12, 1020, 2450, -210, 1890
13411, -102, 11, 1021, 2450, -210, 1820
13431, -101, 12, 1019, 2450, -210, 1820
13451, -103, 12, 1019, 2450, -210, 1890
13471, -102, 10, 1020, 2450, -210, 1820
13491, -101, 11, 1018, 2450, -210, 1890
13511, -103, 11, 1020, 2450, -210, 1890
13531, -102, 14, 1019, 2450, -210, 1820
13551, -102, 12, 1018, 2450, -210, 1820
13571, -102, 11, 1020, 2450, -210, 1890
13591, -102, 10, 1019, 2450, -210, 1890
13611, -102, 12, 1019, 2450, -210, 1890
13631, -102, 11, 1019, 2450, -210, 1820
13651, -103, 12, 1019, 2450, -210, 1820
13671, -103, 13, 1019, 2450, -210, 1820
13691, -102, 11, 1019, 2450, -210, 1890
13711, -102, 12, 1018, 2450, -140, 1820
13731, -101, 12, 1020, 2450, -210, 1820
13751, -103, 11, 1020, 2450, -210, 1820
13771, -102, 10, 1018, 2450, -210, 1890
13791, -104, 11, 1019, 2450, -210, 1890
13811, -103, 9, 1019, 2450, -210, 1890
13831, -102, 11, 1019, 2450, -210, 1890
13851, -102, 11, 1019, 2450, -210, 1820
13871, -101, 11, 1020, 2450, -210, 1820
13891, -102, 12, 1019, 2450, -210, 1820
13911, -103, 10, 1019, 2450, -210, 1890
13931, -100, 11, 1019, 2450, -210, 1820
13951, -101, 11, 1020, 2450, -210, 1820
13971, -102, 12, 1018, 2450, -210, 1820
13991, -102, 11, 1022, 2450, -210, 1820
14011, -102, 12, 1018, 2450, -210, 1890
14031, -102, 11, 1020, 2450, -210, 1820
14051, -103, 11, 1017, 2520, -210, 1820
14071, -103, 10, 1020, 2450, -210, 1820
14091, -102, 11, 1019, 2450, -210, 1890
14111, -101, 11, 1020, 2450, -210, 1820
14131, -102, 11, 1019, 2450, -210, 1890
14151, -102, 10, 1018, 2450, -210, 1890
14171, -101, 12, 1018, 2450, -210, 1890
14191, -102, 11, 1020, 2450, -210, 1890
14211, -103, 11, 1020, 2450, -210, 1890
14231, -103, 12, 1019, 2450, -210, 1820
14251, -102, 11, 1021, 2450, -210, 1820
14271, -101, 10, 1021, 2450, -210, 1820
14291, -105, 10, 1019, 2450, -210, 1890
14311, -103, 10, 1018, 2450, -210, 1890
14331, -103, 13, 1019, 2450, -210, 1890
14351, -103, 11, 1019, 2520, -140, 1890
14371, -102, 11, 1019, 2450, -210, 1820
14391, -100, 12, 1019, 2450, -210, 1820
14411, -103, 10, 1020, 2450, -210, 1820
14431, -103, 12, 1019, 2450, -210, 1820
14451, -100, 11, 1021, 2450, -210, 1820
14471, -102, 10, 1020, 2450, -210, 1890
14491, -101, 11, 1020, 2450, -210, 1890
14511, -102, 11, 1017, 2450, -210, 1820
14531, -101, 11, 1020, 2450, -210, 1820
14551, -101, 12, 1020, 2450, -210, 1820
14571, -102, 11, 1019, 2450, -210, 1820
14591, -102, 11, 1019, 2450, -210, 1820
14611, -104, 10, 1020, 2450, -210, 1820
14631, -102, 11, 1019, 2450, -210, 1890
14651, -101, 10, 1020, 2450, -210, 1820
14671, -101, 10, 1019, 2450, -210, 1890
14691, -102, 12, 1020, 2450, -210, 1890
14711, -102, 12, 1021, 2450, -210, 1820
14731, -103, 12, 1018, 2450, -210, 1890
14751, -102, 12, 1021, 2450, -210, 1890
14771, -103, 10, 1019, 2450, -210, 1890
14791, -102, 11, 1023, 2450, -140, 1890
14811, -102, 12, 1020, 2450, -210, 1820
14831, -102, 12, 1020, 2450, -210, 1820
14851, -101, 12, 1018, 2450, -210, 1820
14871, -103, 12, 1019, 2450, -210, 1820
14891, -102, 12, 1020, 2450, -210, 1820
14911, -105, 11, 1020, 2450, -210, 1890
14931, -102, 11, 1020, 2450, -210, 1890
14951, -103, 11, 1020, 2450, -210, 1890
14971, -103, 12, 1019, 2450, -210, 1820
14991, -103, 11, 1019, 2450, -210, 1820
15011, -102, 11, 1020, 2450, -210, 1820
15031, -101, 11, 1020, 2450, -210, 1820
15051, -100, 11, 1020, 2450, -210, 1820
15071, -103, 13, 1020, 2450, -210, 1820
15091, -102, 12, 1019, 2450, -210, 1820
15111, -103, 11, 1020, 2450, -140, 1890
15131, -104, 10, 1019, 2450, -210, 1820
15151, -102, 12, 1021, 2450, -210, 1890
15171, -103, 12, 1019, 2450, -210, 1820
15191, -102, 12, 1021, 2450, -210, 1890
15211, -101, 12, 1018, 2450, -210, 1820
15231, -102, 11, 1020, 2450, -210, 1820
15251, -100, 11, 1019, 2450, -210, 1820
15271, -101, 10, 1021, 2450, -210, 1820
15291, -101, 11, 1018, 2450, -210, 1820
15311, -101, 11, 1020, 2450, -210, 1890
15331, -104, 11, 1019, 2450, -210, 1890
15351, -102, 11, 1019, 2450, -210, 1890
15371, -104, 11, 1020, 2450, -140, 1820
15391, -102, 12, 1022, 2450, -140, 1820
15411, -102, 10, 1020, 2450, -210, 1890
15431, -100, 12, 1020, 2450, -210, 1890
15451, -103, 10, 1019, 2450, -210, 1890
15471, -102, 10, 1021, 2450, -210, 1820
15491, -100, 13, 1019, 2450, -210, 1890
15511, -102, 12, 1020, 2450, -210, 1890
15531, -102, 10, 1020, 2450, -210, 1820
15551, -102, 10, 1021, 2450, -210, 1890
15571, -102, 11, 1020, 2450, -210, 1890
15591, -102, 10, 1019, 2450, -210, 1890
15611, -102, 11, 1018, 2450, -210, 1890
15631, -102, 11, 1020, 2450, -210, 1890
15651, -101, 11, 1020, 2450, -210, 1890
