T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
60947, 14, 74, 1022, 2520, -210, 1820
60967, 16, 69, 1020, 2450, -280, 1820
60987, 17, 72, 1020, 2450, -280, 1820
61007, 18, 73, 1017, 2450, -210, 1820
61027, 17, 73, 1022, 2450, -210, 1820
61047, 17, 74, 1020, 2450, -210, 1750
61067, 16, 70, 1020, 2450, -280, 1750
61087, 17, 70, 1017, 2380, -210, 1820
61107, 14, 72, 1023, 2450, -210, 1750
61127, 15, 73, 1022, 2450, -210, 1820
61147, 16, 73, 1021, 2450, -280, 1750
61167, 16, 73, 1020, 2450, -280, 1820
61187, 15, 70, 1020, 2380, -210, 1820
61207, 16, 72, 1016, 2380, -140, 1820
61227, 17, 72, 1019, 2450, -210, 1820
61247, 17, 72, 1019, 2450, -280, 1820
61267, 17, 73, 1020, 2450, -210, 1820
61287, 18, 72, 1020, 2450, -70, 1820
61307, 16, 72, 1019, 2380, -70, 1890
61327, 16, 73, 1018, 2380, -140, 1820
61347, 14, 73, 1021, 2380, -140, 1820
61367, 14, 73, 1019, 2450, -210, 1820
61387, 16, 71, 1019, 2450, -140, 1820
61407, 15, 71, 1017, 2450, -210, 1820
61427, 15, 73, 1019, 2450, -210, 1820
61447, 15, 73, 1020, 2450, -210, 1820
61467, 16, 75, 1019, 2520, -210, 1820
61487, 16, 71, 1018, 2450, -210, 1820
61507, 18, 70, 1017, 2450, -210, 1820
61527, 16, 73, 1018, 2450, -140, 1750
61547, 15, 73, 1020, 2520, -210, 1820
61567, 14, 75, 1020, 2450, -280, 1750
61587, 16, 71, 1019, 2450, -140, 1820
61607, 16, 73, 1019, 2450, -210, 1750
61627, 15, 72, 1019, 2520, -210, 1750
61647, 14, 74, 1019, 2520, -280, 1750
61667, 17, 79, 1012, 2730, -280, 1750
61687, 16, 68, 1021, 3570, -280, 1680
61707, 17, 73, 1019, 3220, -280, 1680
61727, 19, 72, 1020, 2940, -280, 1680
61747, 18, 75, 1020, 3570, -210, 1610
61767, 18, 73, 1020, 3290, -210, 1400
61787, 17, 74, 1019, 4690, -280, 1190
61807, 16, 75, 1018, 3850, -210, 2660
61827, 17, 75, 1016, 2450, -280, 1680
61847, 16, 74, 1022, 2450, -210, 1750
61867, 14, 75, 1019, 2450, -280, 1610
61887, 16, 74, 1019, 2450, -280, 1610
61907, 15, 75, 1018, 2450, -140, 1750
61927, 15, 74, 1018, 2380, -210, 1750
61947, 18, 75, 1020, 2450, -140, 1750
61967, 16, 76, 1017, 2450, -210, 1750
61987, 18, 75, 1020, 2450, -280, 1750
62007, 16, 75, 1020, 2450, -350, 1750
62027, 16, 76, 1020, 2450, -210, 1750
62047, 15, 75, 1020, 2450, -140, 1820
62067, 16, 74, 1019, 2450, -140, 1820
62087, 14, 75, 1020, 2450, -210, 1820
62107, 15, 75, 1019, 2450, -210, 1820
62127, 13, 76, 1017, 2450, -280, 1750
62147, 14, 77, 1021, 2450, -210, 1750
62167, 16, 75, 1019, 2450, -140, 1820
62187, 16, 76, 1020, 2450, -210, 1820
62207, 18, 75, 1019, 2450, -210, 1820
62227, 16, 74, 1020, 2450, -210, 1820
62247, 16, 75, 1018, 2450, -210, 1820
62267, 16, 75, 1020, 2450, -210, 1820
62287, 16, 75, 1020, 2450, -210, 1820
62307, 17, 75, 1018, 2450, -280, 1820
62327, 11, 77, 1017, 2450, -210, 1820
62347, 15, 74, 1020, 2450, -210, 1820
62367, 15, 75, 1020, 2450, -280, 1820
62387, 16, 73, 1020, 2450, -280, 1820
62407, 18, 75, 1016, 2450, -280, 1820
62427, 16, 74, 1019, 2450, -210, 1820
62447, 16, 74, 1017, 2450, -210, 1820
62467, 17, 74, 1019, 2450, -210, 1820
62487, 15, 76, 1022, 2450, -210, 1820
62507, 16, 74, 1018, 2450, -280, 1820
62527, 11, 76, 1021, 2450, -210, 1820
62547, 14, 76, 1021, 2450, -210, 1890
62567, 15, 74, 1020, 2450, -280, 1890
62587, 16, 73, 1020, 2450, -280, 1890
62607, 14, 76, 1019, 2450, -350, 1890
62627, 16, 75, 1020, 2450, -280, 1890
62647, 18, 75, 1020, 2450, -210, 1890
62667, 19, 75, 1021, 2450, -210, 1820
62687, 18, 75, 1020, 2450, -210, 1750
62707, 17, 76, 1019, 2450, -210, 1750
62727, 17, 75, 1018, 2450, -210, 1750
62747, 14, 75, 1021, 2450, -210, 1820
62767, 14, 75, 1019, 2450, -280, 1820
62787, 14, 75, 1018, 2450, -280, 1750
62807, 13, 75, 1021, 2450, -210, 1820
62827, 13, 77, 1018, 2450, -210, 1820
62847, 17, 75, 1019, 2450, -280, 1820
62867, 16, 74, 1022, 2450, -280, 1820
62887, 19, 74, 1023, 2450, -280, 1820
62907, 16, 75, 1021, 2450, -280, 1820
62927, 17, 77, 1019, 2450, -280, 1820
62947, 18, 76, 1020, 2450, -210, 1820
62967, 18, 74, 1020, 2450, -210, 1820
62987, 13, 75, 1020, 2450, -280, 1820
63007, 15, 75, 1021, 2450, -210, 1820
63027, 15, 76, 1021, 2450, -210, 1820
63047, 15, 73, 1019, 2450, -210, 1750
63067, 16, 75, 1020, 2450, -280, 1820
63087, 15, 76, 1020, 2450, -280, 1820
63107, 18, 78, 1022, 2450, -280, 1820
63127, 18, 76, 1019, 2450, -210, 1820
63147, 18, 73, 1020, 2380, -140, 1820
63167, 17, 73, 1020, 2380, -210, 1820
63187, 16, 76, 1021, 2380, -210, 1820
63207, 15, 75, 1019, 2450, -210, 1820
63227, 13, 76, 1021, 2380, -210, 1750
63247, 13, 76, 1020, 2450, -210, 1750
63267, 13, 76, 1023, 2450, -280, 1750
63287, 15, 76, 1019, 2520, -350, 1750
63307, 15, 76, 1021, 2520, -280, 1820
63327, 16, 75, 1020, 2520, -280, 1820
63347, 18, 75, 1020, 2450, -210, 1820
63367, 20, 75, 1019, 2450, -210, 1750
63387, 19, 77, 1020, 2450, -140, 1750
63407, 19, 74, 1021, 2380, -140, 1750
63427, 14, 75, 1020, 2380, -210, 1750
63447, 14, 74, 1018, 2450, -210, 1820
63467, 13, 74, 1021, 2450, -140, 1820
63487, 13, 75, 1021, 2450, -210, 1890
63507, 15, 75, 1021, 2380, -140, 1750
63527, 13, 75, 1019, 2380, -140, 1750
63547, 17, 75, 1020, 2310, -210, 1750
63567, 17, 77, 1020, 2380, -210, 1820
63587, 17, 75, 1018, 2380, -350, 1820
63607, 19, 74, 1019, 2240, -280, 1890
63627, 18, 74, 1019, 2100, -210, 1890
63647, 16, 75, 1020, 2170, -210, 1890
63667, 17, 75, 1018, 2170, -210, 1820
63687, 15, 74, 1021, 1330, -210, 1820
63707, 14, 71, 1021, 1540, -210, 1820
63727, 14, 75, 1020, 2310, -210, 1820
63747, 16, 74, 1019, 2240, -280, 1890
63767, 17, 72, 1022, 1960, -280, 1890
63787, 17, 73, 1019, 1050, -210, 1820
63807, 15, 73, 1019, 2240, -280, 1680
63827, 19, 74, 1021, 2240, -210, 1750
63847, 19, 75, 1020, 2240, -210, 1820
63867, 17, 70, 1021, 2170, -280, 1750
63887, 16, 71, 1021, 2170, -350, 1680
63907, 16, 72, 1019, 2100, -350, 1610
63927, 16, 71, 1022, 2100, -350, 1540
63947, 11, 73, 1023, 1680, -280, 910
63967, 19, 71, 1022, 560, -280, -350
63987, 3, 196, 1078, 2240, -350, 1190
64007, 24, 71, 1019, 630, -2240, -25550
64027, 31, 62, 1022, 1120, -3290, -35560
64047, 21, 59, 1018, 1400, -2800, -31570
64067, -16, -3, 1031, 1540, -3080, -32340
64087, 8, 77, 1021, 1610, -3010, -30590
64107, 7, 74, 1024, 1540, -3850, -37310
64127, 30, 73, 1024, 1400, -4900, -51380
64147, -13, 38, 1024, 1400, -5530, -63000
64167, 33, 84, 1009, 1120, -5880, -66990
64187, -7, 99, 1028, 1120, -6510, -69230
64207, 58, 54, 1022, 1190, -6650, -71540
64227, -35, 100, 1023, 1120, -6510, -75320
64247, -22, 28, 1022, 1120, -6860, -79240
64267, 3, 76, 1018, 1120, -7560, -86520
64287, 51, 86, 1009, 910, -8050, -98000
64307, 44, 72, 1013, 840, -8750, -105000
64327, -14, 45, 1021, 840, -8190, -97160
64347, -25, 69, 1028, 980, -8330, -94990
64367, 51, 67, 1029, 700, -8610, -104720
64387, 4, 51, 1029, 560, -9870, -114310
64407, 12, 35, 1029, 490, -10080, -119070
64427, 39, 68, 1009, 490, -10150, -119770
64447, 26, 83, 1024, 420, -10850, -126840
64467, -32, 70, 1011, 350, -12530, -140140
64487, 34, 64, 1011, 140, -12950, -147770
64507, 16, 100, 1016, 140, -12390, -143290
64527, 43, 61, 1008, 350, -11130, -130970
64547, -34, 9, 1035, 560, -10220, -119630
64567, 56, 141, 1010, 700, -10990, -126840
64587, 30, 115, 1003, 490, -11760, -134260
64607, 81, 152, 1024, 350, -11130, -126840
64627, 30, 150, 1027, 210, -11130, -126420
64647, 17, 104, 1008, 210, -11060, -127050
64667, 18, 107, 1026, 280, -10220, -119770
64687, 44, 65, 1014, 560, -10290, -113680
64707, 34, 78, 1023, 560, -9450, -113260
64727, 14, 96, 1022, 840, -9450, -107800
64747, 12, 141, 1022, 630, -8330, -98140
64767, 27, 111, 1022, 490, -9030, -100520
64787, 69, 84, 1014, 630, -9380, -102830
64807, -45, 98, 1032, 770, -9170, -103390
64827, 33, 101, 1016, 910, -8960, -104720
64847, 38, 98, 1019, 1120, -8820, -100940
64867, 44, 74, 1018, 980, -6580, -78470
64887, 49, 83, 1022, 1400, -4760, -53130
64907, -17, 78, 1022, 2030, -1960, -22890
64927, -10, 72, 1009, 1960, -1540, -13300
64947, -87, 35, 1031, 1820, -2590, -24640
64967, 12, 66, 1027, 1750, -4620, -49770
64987, 95, 79, 1020, 1400, -4270, -55650
65007, 68, 95, 1021, 1470, -3500, -45920
65027, 47, 81, 1019, 1610, -3150, -34370
65047, 23, 73, 1019, 1960, -1750, -19110
65067, 22, 72, 1020, 2310, -350, -2730
65087, 20, 73, 1021, 2170, 420, 1540
65107, 20, 71, 1019, 2310, 70, 1890
65127, 22, 70, 1021, 2240, -280, 1750
65147, -145, -142, 1081, 2100, -420, 840
65167, 16, 70, 1021, 1260, -2380, -26390
65187, 5, 77, 1021, 2100, -1540, -15400
65207, -6, 100, 1017, 2030, -1750, -15610
65227, 20, 74, 1019, 2240, -910, -6650
65247, 20, 74, 1021, 2380, 70, 1890
65267, 19, 75, 1021, 2380, 280, 2100
65287, 21, 74, 1019, 2450, 70, 2170
65307, 21, 73, 1019, 2380, -70, 2100
65327, 20, 73, 1021, 2380, -210, 1890
65347, 21, 72, 1022, 2380, -210, 1960
65367, 21, 71, 1022, 2380, 0, 2240
65387, 20, 71, 1023, 2310, 70, 2240
65407, 20, 72, 1020, 2310, 0, 2100
65427, 19, 72, 1023, 2310, -70, 2170
65447, 18, 73, 1020, 2310, -70, 2520
65467, 21, 71, 1019, 2100, 140, 2940
65487, 9, 77, 1019, 1680, 350, 3920
65507, 18, 73, 1020, 700, 560, 7210
65527, 39, 48, 1024, 1890, 70, 4900
65547, 14, 77, 1020, 770, 1120, 17010
65567, -27, 115, 1013, 1960, 560, 12180
65587, 52, 40, 1028, 2240, 980, 16940
65607, 48, 45, 1024, 2450, 770, 12880
65627, 21, 69, 1020, 2380, 490, 6790
65647, 22, 67, 1020, 2380, 140, 2100
65667, 21, 68, 1022, 2380, 0, 1820
65687, 21, 70, 1021, 2380, -70, 1820
65707, 19, 68, 1020, 2380, 0, 1820
65727, 22, 70, 1022, 2380, -70, 1820
65747, 20, 70, 1019, 2380, -140, 1890
65767, 22, 69, 1020, 2380, -140, 1890
65787, 20, 70, 1022, 2380, -70, 1890
65807, 20, 69, 1022, 2310, 0, 1890
65827, 21, 68, 1019, 2380, -70, 1890
65847, 20, 68, 1021, 2380, -70, 1890
65867, 19, 70, 1019, 2380, -140, 1890
65887, -9, 78, 1008, 2310, -140, 2240
65907, 22, 67, 1021, 1680, 140, 3500
65927, 21, 68, 1019, 1120, 280, 4760
65947, 20, 68, 1021, 1820, 70, 3150
65967, 21, 68, 1021, 2240, 0, 2030
65987, 20, 67, 1020, 2310, -70, 1890
66007, 20, 68, 1021, 2380, -70, 1820
66027, 21, 69, 1020, 2310, -70, 1820
66047, 19, 68, 1022, 2380, -140, 1820
66067, 21, 67, 1020, 2380, -140, 1890
66087, 20, 68, 1022, 2380, -140, 1890
66107, 20, 67, 1021, 2310, -70, 1890
66127, 19, 68, 1020, 2310, 0, 1820
66147, 20, 68, 1020, 2310, 0, 1820
66167, 21, 68, 1022, 2380, -140, 1890
66187, 19, 68, 1023, 2380, -140, 1890
66207, 20, 70, 1020, 2380, -140, 1890
66227, 20, 70, 1021, 2380, -140, 1890
66247, 19, 69, 1019, 2380, -140, 1960
66267, 20, 70, 1020, 2380, -140, 1960
66287, 19, 68, 1021, 2380, -140, 1960
66307, 19, 67, 1021, 2380, -70, 1960
66327, 20, 66, 1018, 2380, -140, 1960
66347, 20, 67, 1020, 2310, 0, 1960
66367, 20, 67, 1021, 2240, 0, 1890
66387, 19, 69, 1020, 2310, -140, 1890
66407, 20, 67, 1020, 2310, -210, 1960
66427, 20, 67, 1019, 2310, -140, 1960
66447, 22, 69, 1019, 2310, -140, 1960
66467, 21, 67, 1019, 2310, -210, 1890
66487, 20, 68, 1023, 2380, -210, 1890
66507, 21, 67, 1021, 2380, -210, 1890
66527, 21, 68, 1019, 2380, -140, 1890
66547, 20, 67, 1020, 2380, -210, 1890
66567, 20, 67, 1020, 2380, -140, 1820
66587, 20, 68, 1020, 2380, -140, 1890
66607, 21, 68, 1021, 2380, -140, 1890
66627, 21, 68, 1021, 2310, -70, 1820
66647, 19, 66, 1020, 2380, -70, 1820
66667, 18, 65, 1021, 2450, -210, 1820
66687, 22, 68, 1021, 2380, -350, 1890
66707, 20, 68, 1021, 2380, -350, 1890
66727, 19, 67, 1023, 2380, -280, 1960
66747, 19, 67, 1021, 2450, -210, 1960
66767, 20, 66, 1020, 2380, -140, 2030
66787, 22, 66, 1017, 2380, -140, 2030
66807, 20, 65, 1022, 2170, 70, 1750
66827, 19, 69, 1020, 2310, 70, 1610
