T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
2752, 43, 54, 1038, -19320, -38360, -11830
2772, 46, 39, 1074, -14070, -31080, -11550
2792, 30, 37, 1100, -11270, -10990, -7490
2812, 127, 86, 1110, -14210, 6580, -5950
2832, -38, 41, 957, -13510, 3990, -8540
2852, 48, 30, 981, -9870, -7350, -15960
2872, -10, 10, 1096, -910, -7700, -24010
2892, -52, 4, 1108, 4690, -19040, -33530
2912, 62, 51, 1051, 3220, -32200, -45430
2932, 97, 20, 1013, -1260, -19600, -48440
2952, 9, -17, 1024, 4200, -14210, -44170
2972, 65, 26, 973, 9100, -36680, -53480
2992, 28, 10, 981, 9870, -37730, -59220
3012, 106, 24, 925, 9310, -33600, -63140
3032, 160, 70, 1009, 15120, -28140, -62160
3052, 157, 80, 1095, 23870, -12810, -65660
3072, 97, 71, 1030, 17570, -70, -62720
3092, 94, 51, 941, 13720, -6160, -57330
3112, 170, 95, 970, 17850, -27160, -62440
3132, 576, 211, 875, 25760, -38500, -66850
3152, 266, 141, 1074, 28560, -29750, -57820
3172, 94, 171, 809, 34020, -52010, -53060
3192, 155, 136, 921, 66920, -30730, -43120
3212, 120, 105, 912, 58380, -33810, -24220
3232, 193, 194, 975, 46340, -35840, -25760
3252, 228, 208, 1037, 42000, -23730, -34090
3272, 172, 156, 997, 25760, -140, -33180
3292, 150, 207, 1018, 15190, 13860, -32410
3312, 124, 206, 948, 5740, 210, -43820
3332, 200, 215, 949, -2170, -30310, -48370
3352, 228, 219, 961, -1680, -47110, -55160
3372, 307, 221, 990, 5040, -26180, -57820
3392, 401, 188, 941, 22330, -12530, -44660
3412, 287, 202, 890, 23100, -31080, 0
3432, 277, 176, 942, -20860, -55650, 23660
3452, 234, 200, 943, -3640, -38780, 11130
3472, 246, 184, 893, 8470, -30730, 210
3492, 235, 218, 892, 19390, -4130, -23800
3512, 232, 272, 998, 30520, 38500, -49000
3532, 159, 324, 1067, 55160, 69300, -66570
3552, 140, 351, 946, 76650, 85260, -77350
3572, 52, 359, 934, 105770, 86450, -83230
3592, 39, 184, 876, 120820, 78960, -67620
3612, 29, 670, 970, 17990, 18620, -54320
3632, 175, 480, 1006, -31010, -71470, -41300
3652, 110, 547, 942, 87990, -17710, -58030
3672, 70, 487, 972, 289170, 40320, -53200
3692, 26, 711, 710, 276570, 39620, -51380
3712, -81, 774, 763, 85050, 45850, -73570
3732, 5, 623, 795, 219730, 42700, -50890
3752, 99, 554, 710, 234780, -27720, 560
3772, -4, 1189, 551, 52920, -51660, 2800
3792, -13, 801, 757, -40040, -64540, 13930
3812, 40, 783, 909, 16940, -39130, -8540
3832, 60, 712, 767, 62930, 4900, -59220
3852, -4, 957, 525, 42840, 12180, -71680
3872, 57, 708, 506, -3710, -1610, -62440
3892, 64, 858, 666, -17920, -53410, -14210
3912, 91, 789, 755, -23660, -101500, 31990
3932, 33, 828, 795, -3710, -95830, 41790
3952, -9, 888, 703, 12180, -57120, 22260
3972, 79, 444, 534, 29400, -6580, -13020
3992, 165, 52, 505, 35770, 45220, -58940
4012, 97, 473, 633, 4900, 36050, -68110
4032, 120, 737, 668, -31080, -26250, -38080
4052, 149, 864, 818, -24500, -62580, 8750
4072, 94, 780, 811, -31570, -65170, 9660
4092, 1, 870, 733, -2240, -52080, 20930
4112, -11, 815, 640, 17710, -15680, 1890
4132, -7, 745, 595, 37730, 18340, -16100
4152, 0, 652, 669, 37310, 30660, -26250
4172, 63, 793, 675, 30730, 24500, -20790
4192, 81, 687, 650, 10360, 4690, -12600
4212, 15, 888, 633, -8050, -23520, 6930
4232, 74, 570, 634, -12810, -29960, 27440
4252, 97, 853, 713, -24920, -25760, 18830
4272, 111, 602, 725, -12250, -20160, 19390
4292, 62, 924, 786, -560, -12250, 7770
4312, 97, 753, 563, 12880, -10850, -770
4332, 28, 845, 603, 14840, 980, -17990
4352, 84, 530, 638, 37660, 27300, -22610
4372, 129, 787, 581, 18130, 40810, -44520
4392, 10, 753, 498, -3150, 27930, -29470
4412, 30, 723, 636, -10640, 24150, -16310
4432, 20, 850, 728, -25900, -700, -7630
4452, -24, 728, 664, -12390, -26600, 22540
4472, 19, 739, 637, -70, -14560, 19110
4492, 23, 825, 617, -8050, 6440, -4550
4512, 61, 559, 618, 13300, 23100, -5320
4532, 56, 734, 573, -4690, 25620, -4620
4552, 21, 837, 825, -11340, 26320, -23590
4572, 83, 731, 833, 27370, 24780, 23170
4592, -89, 934, 739, 58870, 19810, 12460
4612, -35, 981, 617, 132860, 23100, 12880
4632, 21, 856, 564, 345870, 36400, -6860
4652, 2, 832, 437, 77700, 25270, -31010
4672, 13, 603, 510, 18130, 21070, -40950
4692, 2, 867, 449, 5530, 2660, -23940
4712, 2, 799, 511, -13860, -23100, 10430
4732, -8, 918, 501, -18340, -20370, 23800
4752, 6, 849, 517, -12880, -10290, 8540
