T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
8798, -61, 8, 1021, 2520, -70, 1680
8818, -60, 8, 1023, 2450, -140, 1680
8838, -60, 9, 1022, 2450, -70, 1680
8858, -60, 10, 1021, 2520, -70, 1680
8878, -64, 9, 1021, 2520, 0, 1680
8898, -65, 8, 1021, 2450, -70, 1610
8918, -64, 9, 1020, 2450, -140, 1610
8938, -63, 8, 1023, 2450, -70, 1680
8958, -65, 8, 1021, 2450, -70, 1680
8978, -62, 8, 1021, 2450, -70, 1680
8998, -62, 10, 1021, 2520, -140, 1680
9018, -62, 10, 1022, 2520, -140, 1680
9038, -62, 10, 1021, 2520, -70, 1680
9058, -61, 9, 1021, 2520, -70, 1680
9078, -60, 7, 1023, 2520, 0, 1680
9098, -61, 8, 1022, 2450, -70, 1680
9118, -61, 8, 1023, 2450, -140, 1680
9138, -62, 10, 1020, 2450, -140, 1680
9158, -64, 8, 1022, 2520, -140, 1680
9178, -64, 9, 1021, 2520, 0, 1680
9198, -65, 8, 1021, 2450, 0, 1680
9218, -62, 7, 1020, 2450, -70, 1680
9238, -61, 8, 1023, 2450, -140, 1680
9258, -61, 8, 1021, 2450, -140, 1680
9278, -60, 9, 1021, 2520, -140, 1680
9298, -60, 8, 1021, 2520, -70, 1680
9318, -61, 8, 1022, 2450, 0, 1680
9338, -61, 9, 1021, 2450, 0, 1680
9358, -64, 7, 1021, 2520, -70, 1610
9378, -66, 8, 1021, 2520, -70, 1680
9398, -64, 7, 1021, 2520, -70, 1680
9418, -62, 8, 1023, 2450, -70, 1610
9438, -61, 8, 1021, 2450, 0, 1680
9458, -62, 9, 1021, 2520, -70, 1680
9478, -62, 8, 1021, 2520, -70, 1610
9498, -61, 7, 1022, 2520, -70, 1680
9518, -61, 8, 1019, 2450, 70, 1680
9538, -61, 8, 1021, 2450, -70, 1680
9558, -64, 7, 1021, 2450, -140, 1680
9578, -63, 7, 1020, 2450, -70, 1680
9598, -63, 7, 1021, 2450, -70, 1680
9618, -65, 8, 1020, 2450, -70, 1680
9638, -63, 9, 1021, 2520, -70, 1680
9658, -63, 9, 1020, 2520, -70, 1680
9678, -64, 8, 1019, 2450, -70, 1610
9698, -61, 9, 1024, 2450, -140, 1680
9718, -62, 8, 1020, 2450, -140, 1680
9738, -61, 7, 1022, 2380, 0, 1610
9758, -62, 8, 1020, 2380, 0, 1610
9778, -62, 8, 1021, 2450, -210, 1680
9798, -63, 8, 1019, 2450, -140, 1750
9818, -61, 8, 1021, 2450, 0, 1750
9838, -64, 8, 1020, 2450, 0, 1610
9858, -64, 8, 1021, 2450, -70, 1680
9878, -64, 9, 1021, 2450, -140, 1680
9898, -62, 8, 1022, 2450, -70, 1680
9918, -62, 7, 1019, 2450, 0, 1680
9938, -62, 7, 1021, 2450, -70, 1610
9958, -60, 8, 1019, 2450, -70, 1680
9978, -62, 9, 1020, 2450, -70, 1680
9998, -62, 8, 1018, 2450, -140, 1750
10018, -64, 9, 1021, 2450, -70, 1680
10038, -62, 10, 1022, 2450, -70, 1680
10058, -62, 10, 1019, 2450, -70, 1610
10078, -62, 8, 1021, 2450, -70, 1610
10098, -62, 9, 1021, 2450, -70, 1680
10118, -63, 9, 1021, 2450, -70, 1680
10138, -63, 7, 1021, 2450, -140, 1610
10158, -63, 8, 1020, 2450, -140, 1680
10178, -63, 9, 1018, 2520, -140, 1680
10198, -62, 9, 1020, 2450, -70, 1610
10218, -62, 8, 1019, 2450, -70, 1680
10238, -61, 9, 1021, 2450, 0, 1680
10258, -61, 7, 1022, 2450, 0, 1680
10278, -61, 7, 1019, 2450, 0, 1680
10298, -62, 8, 1020, 2450, -70, 1680
10318, -63, 9, 1024, 2450, -70, 1610
10338, -63, 9, 1020, 2450, 0, 1610
10358, -63, 8, 1021, 2450, 0, 1680
10378, -62, 7, 1022, 2450, 0, 1680
10398, -63, 8, 1021, 2450, 0, 1680
10418, -64, 7, 1022, 2450, 0, 1680
10438, -62, 8, 1020, 2450, 0, 1680
10458, -62, 8, 1019, 2450, -140, 1680
10478, -63, 9, 1022, 2520, -210, 1680
